,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol,acml_tr_pbmn,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr
0,20141125,21300,21750,21250,237963,-250,21350.0,21380.0,22138.333333333332,57.14285714285714,22468.301428833023,21380.0,20291.698571166977,1980.21,1981.85,1973.80,0.08,283188,6179890,546.34,546.98,543.36,0.81,397533,2820780,,,,,,
1,20141126,20500,20550,19850,717049,-800,21140.0,21300.0,22130.833333333332,49.48453608247423,22400.0,21300.0,20200.0,1980.84,1985.43,1972.95,0.03,253288,4149141,547.34,548.10,546.58,0.18,367260,1898873,4758.25,4774.52,4749.92,2067.03,2074.21,2064.75
2,20141127,20450,20600,20250,159130,-50,20970.0,21230.0,22125.0,45.05494505494505,22358.893263333608,21230.0,20101.106736666392,1982.09,1994.82,1982.08,0.06,295509,5571154,545.97,549.32,545.46,-0.25,338403,1735361,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
3,20141128,20150,20400,20050,237727,-300,20790.0,21172.5,22089.166666666668,45.05494505494505,22394.578148074008,21172.5,19950.421851925992,1980.78,1984.73,1975.66,-0.07,340696,4301527,545.08,548.01,544.51,-0.16,354876,1632517,4787.32,4788.00,4757.48,2072.83,2073.29,2066.62
4,20141201,20100,20300,19900,195216,-50,20500.0,21137.5,22049.166666666668,37.80487804878048,22437.83649491199,21137.5,19837.16350508801,1965.22,1971.97,1962.15,-0.79,333977,4702647,539.45,545.23,539.13,-1.03,368382,1706683,4791.63,4810.86,4786.72,2067.56,2075.76,2065.06
5,20141202,20500,20650,20100,161104,400,20340.0,21125.0,22028.333333333332,26.08695652173913,22444.659046875367,21125.0,19805.340953124633,1965.83,1965.83,1954.40,0.03,317912,3878547,541.53,541.55,537.53,0.39,359758,1826563,4727.35,4782.07,4724.62,2053.44,2065.78,2049.57
6,20141203,20500,20750,20500,137316,0,20340.0,21115.0,22015.833333333332,26.865671641791046,22450.327675141947,21115.0,19779.672324858053,1969.91,1973.96,1964.77,0.21,271112,3300716,545.02,546.00,542.64,0.64,428016,2033941,4755.81,4761.63,4729.76,2066.55,2068.77,2053.77
7,20141204,20750,20750,20450,195059,250,20400.0,21125.0,21989.166666666668,32.3943661971831,22446.17372059847,21125.0,19803.82627940153,1986.61,1988.56,1976.10,0.85,244390,3548271,548.16,549.46,547.20,0.58,394092,2248476,4774.47,4781.37,4745.14,2074.33,2076.28,2066.65
8,20141205,21200,21750,21100,539835,450,20610.0,21140.0,21958.333333333332,40.0,22457.421724429958,21140.0,19822.578275570042,1986.62,1989.17,1983.36,0.00,305548,3434291,550.85,550.92,549.27,0.49,480233,2249781,4769.44,4785.41,4753.71,2071.92,2077.34,2062.34
9,20141208,21150,21250,20700,155192,-50,20820.0,21167.5,21918.333333333332,39.50617283950618,22461.437788303596,21167.5,19873.562211696404,1978.95,1990.04,1976.89,-0.39,295139,3174101,551.40,553.11,551.19,0.10,432777,2141511,4780.76,4788.98,4769.64,2075.37,2079.47,2070.81
10,20141209,21500,22350,21350,550041,350,21020.0,21187.5,21887.5,49.36708860759494,22488.989531267925,21187.5,19886.010468732075,1970.95,1977.15,1968.85,-0.40,541162,3920050,546.57,552.38,546.57,-0.88,513199,2178098,4740.69,4793.24,4722.91,2060.31,2075.78,2054.27
11,20141210,19950,22000,18850,1450419,-1550,20910.0,21077.5,21836.666666666668,37.14285714285714,22406.588033201715,21077.5,19748.411966798285,1945.56,1966.11,1943.27,-1.29,367890,3921968,541.96,548.21,540.42,-0.84,452662,2189383,4766.47,4768.41,4674.38,2059.82,2060.60,2034.17
12,20141211,20350,20700,19600,294579,400,20830.0,20992.5,21783.333333333332,43.51851851851852,22278.686222908644,20992.5,19706.313777091356,1916.59,1937.23,1916.49,-1.49,343635,4483230,537.21,542.60,536.32,-0.88,477012,2356053,4684.03,4766.64,4679.25,2026.14,2058.86,2024.26
13,20141212,20300,20600,20150,125278,-50,20650.0,20907.5,21730.0,37.37373737373738,22139.683022119683,20907.5,19675.316977880317,1921.71,1926.67,1915.00,0.27,363470,3800864,533.67,540.13,530.83,-0.66,596591,2729367,4708.16,4759.88,4699.43,2035.33,2055.53,2027.92
14,20141215,20300,20700,20100,190179,0,20480.0,20822.5,21687.5,39.361702127659576,21973.358375300802,20822.5,19671.641624699198,1920.36,1920.43,1899.61,-0.07,294421,3750325,538.09,538.92,530.10,0.83,424151,1945924,4653.60,4707.92,4653.60,2002.33,2032.25,2002.33
15,20141216,20250,20650,20200,160334,-50,20230.0,20735.0,21645.833333333332,46.835443037974684,21775.240356840666,20735.0,19694.759643159334,1904.13,1919.60,1901.13,-0.85,369417,4372157,534.15,539.39,533.24,-0.73,460172,2360215,4605.16,4690.58,4592.43,1989.63,2018.69,1982.26
16,20141217,20850,20900,20300,270523,600,20410.0,20700.0,21624.166666666668,54.44444444444445,21673.13925005623,20700.0,19726.86074994377,1900.16,1913.28,1900.16,-0.21,307269,4126755,533.06,537.17,532.68,-0.20,456093,2340472,4547.83,4645.19,4547.31,1972.74,2016.89,1972.56
17,20141218,20900,21050,20250,171745,50,20520.0,20680.0,21596.666666666668,58.823529411764696,21618.82905792269,20680.0,19741.17094207731,1897.50,1919.24,1881.73,-0.14,337298,5321982,527.52,536.63,520.93,-1.04,515786,2360670,4644.31,4651.90,4550.70,2012.89,2016.75,1973.77
18,20141219,20550,21200,20450,153975,-350,20570.0,20655.0,21565.0,54.94505494505495,21579.608025057103,20655.0,19730.391974942897,1929.98,1930.08,1914.27,1.71,291792,4492734,535.51,535.99,530.96,1.51,390477,2000657,4748.40,4748.40,4697.09,2061.23,2061.23,2018.98
19,20141222,20300,20600,20150,159127,-250,20570.0,20592.5,21520.833333333332,47.72727272727273,21431.71093891822,20592.5,19753.28906108178,1943.12,1944.20,1928.89,0.68,324535,4210382,536.78,538.78,535.12,0.24,429662,1777044,4765.38,4782.13,4738.29,2070.65,2077.85,2061.03
20,20141223,20000,20300,20000,228004,-300,20520.0,20527.5,21475.833333333332,44.680851063829785,21338.348321204405,20527.5,19716.651678795595,1939.02,1944.75,1936.75,-0.21,300797,3699646,534.65,539.13,534.55,-0.40,417420,2343008,4781.42,4781.93,4757.81,2078.54,2078.76,2069.28
21,20141224,20000,20150,19900,100567,0,20350.0,20502.5,21449.166666666668,41.573033707865164,21345.396790835035,20502.5,19659.603209164965,1946.61,1947.35,1936.74,0.39,283866,3040951,536.89,538.02,535.78,0.42,463603,2017389,4765.42,4798.06,4761.39,2082.17,2086.73,2079.77
22,20141226,19950,20100,19900,141240,-50,20160.0,20477.5,21424.166666666668,34.567901234567906,21354.127058674327,20477.5,19600.872941325673,1948.16,1954.77,1944.22,0.08,297006,3406229,535.17,539.24,535.17,-0.32,506926,2206609,4773.47,4787.58,4768.67,2081.88,2087.56,2081.86
