,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
0,20181219,123000,123500,118500,841175,5000,118500.0,108430.0,111548.33333333333,88.33333333333333,125667.99292261137,108430.0,91192.00707738863
1,20181220,121500,124500,120500,682779,-1500,119100.0,109865.0,111423.33333333333,79.59183673469387,126424.50180410026,109865.0,93305.49819589974
2,20181221,122500,122500,119500,643918,1000,120300.0,111305.0,111315.0,79.16666666666666,126976.30817768574,111305.0,95633.69182231426
3,20181224,123000,124000,121500,301455,500,121600.0,112700.0,111190.0,82.97872340425532,127282.18090684655,112700.0,98117.81909315345
4,20181226,120000,122000,118500,550552,-3000,122000.0,113650.0,111031.66666666667,73.58490566037736,127517.58811041055,113650.0,99782.41188958945
5,20181227,118500,120000,117500,458613,-1500,121100.0,114525.0,110856.66666666667,66.0,127250.85949946014,114525.0,101799.14050053986
6,20181228,118500,120000,117500,398062,0,120500.0,115450.0,110690.0,65.3061224489796,126381.14815561476,115450.0,104518.85184438524
7,20190102,114000,118000,113500,565493,-4500,118800.0,115800.0,110515.0,56.14035087719298,126053.77979088687,115800.0,105546.22020911313
8,20190103,116500,118500,113000,608591,2500,117500.0,116200.0,110381.66666666667,58.333333333333336,125892.26495717074,116200.0,106507.73504282926
9,20190104,119500,123000,116000,1326978,3000,117400.0,116800.0,110340.0,51.92307692307693,125718.52005660132,116800.0,107881.47994339868
10,20190107,120500,121500,119500,428416,1000,117800.0,117450.0,110348.33333333333,53.703703703703695,125405.50124127952,117450.0,109494.49875872048
11,20190108,119500,123500,118500,582117,-1000,118000.0,117900.0,110406.66666666667,55.76923076923076,125225.29862872498,117900.0,110574.70137127502
12,20190109,123000,124000,119000,846392,3500,119800.0,118500.0,110531.66666666667,61.016949152542374,125420.98258919931,118500.0,111579.01741080069
13,20190110,123000,123000,119500,648837,0,121100.0,119125.0,110690.0,58.92857142857143,125255.86453936147,119125.0,112994.13546063853
14,20190111,123000,124500,122000,440529,0,121800.0,119700.0,110798.33333333333,50.0,124957.37577123797,119700.0,114442.62422876203
15,20190114,121500,124000,121000,297709,-1500,122000.0,119850.0,110848.33333333333,50.0,125132.99157674891,119850.0,114567.00842325109
16,20190115,127500,128000,120500,828015,6000,123600.0,120300.0,111040.0,58.92857142857143,126500.0,120300.0,114100.0
