,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
0,20181219,4230,4305,4220,837595,55,4275.0,4370.5,4105.75,33.90804597701149,4584.763856028029,4370.5,4156.236143971971
1,20181220,4275,4285,4190,485623,45,4249.0,4370.25,4106.25,37.15846994535519,4584.946879343879,4370.25,4155.553120656121
2,20181221,4260,4280,4155,726321,-15,4246.0,4370.0,4105.25,38.4180790960452,4585.197583629557,4370.0,4154.802416370443
3,20181224,4145,4250,4145,472014,-115,4217.0,4355.0,4102.666666666667,28.64864864864865,4588.2595121318745,4355.0,4121.7404878681255
4,20181226,4075,4140,4060,540613,-70,4197.0,4334.25,4097.833333333333,30.45977011494253,4588.656662648603,4334.25,4079.843337351397
5,20181227,4195,4200,4080,551491,120,4190.0,4318.75,4093.5,41.62162162162162,4567.363656101188,4318.75,4070.136343898811
6,20181228,4135,4215,4120,582133,-60,4162.0,4300.0,4090.75,37.82383419689119,4544.622157622731,4300.0,4055.3778423772696
7,20190102,4090,4165,4080,245975,-45,4128.0,4279.0,4088.6666666666665,37.435897435897445,4519.989626332753,4279.0,4038.010373667247
8,20190103,4070,4125,4060,248562,-20,4113.0,4259.25,4086.5833333333335,39.037433155080215,4500.771738152076,4259.25,4017.728261847924
9,20190104,4115,4115,3995,377696,45,4121.0,4238.0,4085.5833333333335,41.53846153846154,4449.952824939891,4238.0,4026.047175060109
10,20190107,4190,4190,4130,404693,75,4120.0,4226.75,4087.75,38.37837837837838,4423.251272260512,4226.75,4030.248727739488
11,20190108,4220,4220,4165,269395,30,4137.0,4220.25,4094.4166666666665,46.66666666666666,4408.438070822781,4220.25,4032.061929177219
12,20190109,4240,4250,4190,473812,20,4167.0,4213.75,4100.0,46.98795180722892,4389.359652354306,4213.75,4038.1403476456944
13,20190110,4185,4240,4165,285012,-55,4190.0,4206.25,4106.083333333333,50.64935064935065,4373.099483067824,4206.25,4039.400516932176
14,20190111,4220,4245,4175,403871,35,4211.0,4203.5,4112.416666666667,49.33333333333333,4367.51524319404,4203.5,4039.48475680596
15,20190114,4255,4255,4180,585570,35,4224.0,4202.25,4119.083333333333,48.64864864864865,4364.2831756153655,4202.25,4040.216824384634
16,20190115,4260,4270,4230,379849,5,4232.0,4195.0,4125.916666666667,50.0,4330.97793938724,4195.0,4059.02206061276
17,20190116,4285,4285,4245,461375,25,4241.0,4195.5,4132.25,60.9375,4332.718803376214,4195.5,4058.2811966237855
18,20190117,4265,4365,4265,578500,-20,4257.0,4194.25,4138.5,66.10169491525423,4328.424326903473,4194.25,4060.075673096527
19,20190118,4305,4310,4230,393914,40,4274.0,4200.75,4147.666666666667,60.78431372549019,4342.921551303346,4200.75,4058.5784486966536
20,20190121,4220,4330,4220,556530,-85,4267.0,4200.25,4155.333333333333,57.94392523364487,4342.076478486917,4200.25,4058.423521513083
21,20190122,4210,4250,4205,274994,-10,4257.0,4197.0,4165.0,62.0,4334.746143321691,4197.0,4059.253856678308
22,20190123,4255,4280,4200,422585,45,4251.0,4196.75,4177.333333333333,67.61904761904762,4334.055316721531,4196.75,4059.444683278469
23,20190124,4290,4305,4240,453893,35,4256.0,4204.0,4193.0,66.99029126213593,4344.875831852025,4204.0,4063.124168147975
24,20190125,4320,4320,4290,485270,30,4259.0,4216.25,4208.333333333333,63.82978723404256,4352.663892254418,4216.25,4079.836107745582
25,20190128,4320,4350,4300,407241,0,4279.0,4222.5,4219.5,61.36363636363637,4365.730583326327,4222.5,4079.269416673673
26,20190129,4335,4335,4270,343618,15,4304.0,4232.5,4230.666666666667,60.91954022988506,4377.810013419585,4232.5,4087.189986580415
27,20190130,4355,4360,4295,435313,20,4324.0,4245.75,4239.25,71.25,4384.864161752138,4245.75,4106.635838247862
28,20190131,4365,4390,4335,476319,10,4339.0,4260.5,4247.416666666667,69.33333333333334,4383.581273961558,4260.5,4137.418726038442
29,20190201,4380,4390,4340,452113,15,4351.0,4273.75,4255.083333333333,67.6056338028169,4388.0686336517365,4273.75,4159.431366348264
30,20190207,4370,4395,4340,296776,-10,4361.0,4282.75,4262.166666666667,65.27777777777779,4397.618402966177,4282.75,4167.881597033823
31,20190208,4305,4370,4305,345272,-65,4355.0,4287.0,4267.25,52.5,4398.507847257491,4287.0,4175.492152742509
