,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,bb_upper,bb_middle,bb_lower
0,20150326,9320,9430,9230,1150830,30,9632.0,9898.5,9603.5,10485.944465460354,9898.5,9311.055534539646
1,20150327,9360,9380,9230,723765,40,9532.0,9888.0,9592.0,10505.303814989022,9888.0,9270.696185010978
2,20150330,9260,9370,9250,977291,-100,9412.0,9871.0,9578.833333333334,10535.97819513124,9871.0,9206.02180486876
3,20150331,9110,9300,9030,1682918,-150,9268.0,9835.5,9569.5,10578.775857269695,9835.5,9092.224142730305
4,20150401,9140,9210,9070,782588,30,9238.0,9802.0,9558.666666666666,10604.859888149856,9802.0,8999.140111850144
5,20150402,9320,9350,9120,881200,180,9238.0,9750.5,9555.0,10538.141415874,9750.5,8962.858584126
6,20150403,9370,9520,9320,685783,50,9240.0,9696.5,9560.0,10431.218313369143,9696.5,8961.781686630857
7,20150406,9430,9450,9280,675991,60,9274.0,9650.5,9562.0,10328.83546273212,9650.5,8972.16453726788
8,20150407,9380,9450,9350,362500,-50,9328.0,9617.0,9565.0,10279.090628237554,9617.0,8954.909371762446
9,20150408,9380,9490,9350,521421,0,9376.0,9583.5,9566.166666666666,10221.944202730356,9583.5,8945.055797269644
10,20150409,9310,9400,9290,644946,-70,9374.0,9555.0,9569.333333333334,10188.829630105756,9555.0,8921.170369894244
11,20150410,9320,9350,9250,660835,10,9364.0,9526.5,9568.833333333334,10148.666376462117,9526.5,8904.333623537883
12,20150413,9430,9490,9310,765589,110,9364.0,9500.0,9572.666666666666,10090.389701807204,9500.0,8909.610298192796
13,20150414,9800,9900,9430,1825561,370,9448.0,9491.0,9582.5,10056.82329397083,9491.0,8925.17670602917
14,20150415,9830,9860,9690,950750,30,9538.0,9482.5,9595.833333333334,10021.976598194955,9482.5,8943.023401805045
15,20150416,9710,9960,9670,1366599,-120,9618.0,9465.5,9603.5,9951.111985025082,9465.5,8979.888014974918
16,20150417,9750,9850,9660,647132,40,9704.0,9460.0,9612.833333333334,9929.851040224452,9460.0,8990.148959775548
17,20150420,9710,9810,9660,592855,-40,9760.0,9452.5,9619.166666666666,9900.869267457081,9452.5,9004.130732542919
18,20150421,9630,9780,9630,658290,-80,9726.0,9442.5,9622.833333333334,9864.915672057748,9442.5,9020.084327942252
19,20150422,9510,9720,9350,750270,-120,9662.0,9453.5,9624.666666666666,9870.885912555754,9453.5,9036.114087444246
20,20150423,9770,9790,9430,785910,260,9674.0,9476.0,9631.333333333334,9910.345484608739,9476.0,9041.654515391261
21,20150424,9810,9870,9700,848285,40,9686.0,9498.5,9635.0,9952.648654077055,9498.5,9044.351345922945
22,20150427,10100,10150,9820,1273505,290,9764.0,9540.5,9642.333333333334,10050.57744510025,9540.5,9030.42255489975
23,20150428,10050,10100,9950,668069,-50,9848.0,9587.5,9646.833333333334,10103.440888086998,9587.5,9071.559111913002
24,20150429,9740,10000,9610,1194333,-310,9894.0,9617.5,9647.333333333334,10094.149766600174,9617.5,9140.850233399826
25,20150430,9770,9820,9610,557143,30,9894.0,9640.0,9650.5,10100.564870566568,9640.0,9179.435129433432
26,20150504,9540,9760,9520,684641,-230,9840.0,9648.5,9651.5,10094.875402548125,9648.5,9202.124597451875
27,20150506,9300,9560,9250,817165,-240,9680.0,9642.0,9647.333333333334,10104.41107253179,9642.0,9179.58892746821
28,20150507,9310,9420,9250,441951,10,9532.0,9638.5,9638.666666666666,10109.765318053429,9638.5,9167.234681946571
29,20150508,9540,9650,9330,593446,230,9492.0,9646.5,9640.0,10105.205788060277,9646.5,9187.794211939723
30,20150511,9450,9660,9450,370627,-90,9428.0,9653.5,9642.666666666666,10095.417413098872,9653.5,9211.582586901128
31,20150512,9410,9450,9340,359941,-40,9402.0,9658.0,9641.333333333334,10087.911618824148,9658.0,9228.088381175852
32,20150513,9390,9470,9370,313217,-20,9420.0,9656.0,9639.833333333334,10090.483601531749,9656.0,9221.516398468251
33,20150514,9360,9460,9350,336951,-30,9430.0,9634.0,9638.833333333334,10081.455025672973,9634.0,9186.544974327027
34,20150515,9320,9420,9290,457943,-40,9386.0,9608.5,9639.0,10066.376620936251,9608.5,9150.623379063749
35,20150518,9180,9250,9080,1549163,-140,9332.0,9582.0,9637.5,10073.43056478001,9582.0,9090.56943521999
36,20150519,8700,9190,8690,2386077,-480,9190.0,9529.5,9627.166666666666,10146.281160542376,9529.5,8912.718839457624
37,20150520,8450,8730,8420,1770485,-250,9002.0,9466.5,9609.0,10235.324427291433,9466.5,8697.675572708567
38,20150521,8340,8510,8260,1395633,-110,8798.0,9402.0,9589.5,10309.140562426794,9402.0,8494.859437573206
39,20150522,8500,8550,8300,1047109,160,8634.0,9351.5,9573.833333333334,10337.953749549364,9351.5,8365.046250450636
40,20150526,8360,8520,8320,711941,-140,8470.0,9281.0,9551.833333333334,10336.839002878753,9281.0,8225.160997121247
41,20150527,8300,8460,8290,716742,-60,8390.0,9205.5,9530.666666666666,10313.87674100461,9205.5,8097.123258995391
42,20150528,8090,8370,8080,1242972,-210,8318.0,9105.0,9505.5,10235.017698976437,9105.0,7974.982301023563
43,20150529,8170,8210,8040,1108552,80,8284.0,9011.0,9478.0,10123.580783583826,9011.0,7898.419216416174
44,20150601,7940,8160,7900,1181814,-230,8172.0,8921.0,9446.833333333334,10073.630036047995,8921.0,7768.3699639520055
45,20150602,7610,7950,7530,1810052,-330,8022.0,8813.0,9401.166666666666,10030.162273486982,8813.0,7595.8377265130175
46,20150603,7520,7690,7510,895537,-90,7866.0,8712.0,9352.333333333334,10004.030959381393,8712.0,7419.969040618608
47,20150604,7360,7580,7350,1052109,-160,7720.0,8615.0,9302.5,10003.574808931806,8615.0,7226.425191068194
48,20150605,7330,7420,7270,771983,-30,7552.0,8516.0,9257.166666666666,9972.90631133234,8516.0,7059.093688667662
49,20150608,7660,7660,7190,1412295,330,7496.0,8422.0,9217.333333333334,9844.696032186777,8422.0,6999.303967813223
50,20150609,7730,7740,7500,1097336,70,7520.0,8336.0,9181.5,9706.728273583061,8336.0,6965.271726416939
51,20150610,7680,7940,7620,908093,-50,7552.0,8249.5,9144.666666666666,9555.003351202133,8249.5,6943.996648797867
52,20150611,7870,7870,7680,1143854,190,7654.0,8173.5,9109.833333333334,9377.614197242106,8173.5,6969.385802757894
53,20150612,7500,7890,7410,1364970,-370,7688.0,8080.5,9068.5,9187.052755181605,8080.5,6973.947244818395
54,20150615,7500,7680,7330,680470,0,7656.0,7989.5,9026.833333333334,8964.927598543327,7989.5,7014.072401456674
55,20150616,7350,7500,7270,905594,-150,7580.0,7898.0,8981.833333333334,8744.347446383576,7898.0,7051.6525536164245
56,20150617,7220,7340,7190,842999,-130,7488.0,7824.0,8937.833333333334,8634.98458678325,7824.0,7013.015413216749
57,20150618,7190,7320,7160,744140,-30,7352.0,7761.0,8893.333333333334,8563.393918222217,7761.0,6958.606081777784
58,20150619,7100,7210,6990,1358516,-90,7272.0,7699.0,8847.833333333334,8504.478739632525,7699.0,6893.521260367475
59,20150622,7140,7170,7060,622579,40,7200.0,7631.0,8812.0,8382.316178449526,7631.0,6879.683821550474
60,20150623,7100,7200,7020,1184346,-40,7150.0,7568.0,8775.0,8274.18977619334,7568.0,6861.810223806659
61,20150624,7330,7360,7050,812849,230,7172.0,7519.5,8741.166666666666,8146.763102692961,7519.5,6892.236897307039
62,20150625,7350,7420,7310,828740,20,7204.0,7482.5,8709.333333333334,8055.7669535216555,7482.5,6909.2330464783445
63,20150626,7370,7500,7340,701838,20,7258.0,7442.5,8680.333333333334,7922.328094217085,7442.5,6962.671905782915
64,20150629,7040,7240,7000,911621,-330,7238.0,7397.5,8645.333333333334,7850.3079062913985,7397.5,6944.6920937086015
