,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,bb_upper,bb_middle,bb_lower
0,20150326,7250,7550,7130,318138,-360,7894.0,7812.5,4887.666666666667,10578.181651962135,7812.5,5046.818348037866
1,20150327,6670,7340,6450,707542,-580,7336.0,7832.0,4948.25,10559.420759618875,7832.0,5104.579240381125
2,20150330,6510,6780,6330,419465,-160,7028.0,7831.5,5007.083333333333,10559.886153021598,7831.5,5103.113846978401
3,20150331,6550,6930,6510,422371,40,6918.0,7830.0,5065.333333333333,10561.16824820442,7830.0,5098.83175179558
4,20150401,6150,6470,6010,526017,-400,6626.0,7825.0,5121.0,10568.06033473564,7825.0,5081.939665264361
5,20150402,6190,6370,6020,269189,40,6414.0,7784.5,5175.833333333333,10598.098940858486,7784.5,4970.9010591415135
6,20150403,6310,6620,6080,535901,120,6342.0,7802.5,5233.333333333333,10573.202979389887,7802.5,5031.797020610113
7,20150406,6680,6940,6200,856437,370,6376.0,7816.5,5294.25,10561.424589128088,7816.5,5071.575410871912
8,20150407,6640,6740,6450,311296,-40,6394.0,7780.5,5354.083333333333,10566.99941683109,7780.5,4994.00058316891
9,20150408,6480,6750,6450,371399,-160,6460.0,7736.5,5411.916666666667,10575.466537316,7736.5,4897.533462684
10,20150409,6770,6960,6380,503464,290,6576.0,7652.0,5474.083333333333,10500.386209768612,7652.0,4803.613790231388
11,20150410,7780,7780,7310,1015674,1010,6870.0,7555.0,5553.75,10242.679296344711,7555.0,4867.3207036552885
12,20150413,7200,7990,7160,863873,-580,6974.0,7410.0,5623.666666666667,9832.66795083437,7410.0,4987.33204916563
13,20150414,7270,7450,7000,422784,70,7100.0,7338.5,5695.166666666667,9687.961853276192,7338.5,4989.038146723808
14,20150415,7250,7520,7190,283323,-20,7254.0,7201.0,5765.5,9208.28572953628,7201.0,5193.714270463719
15,20150416,7000,7260,6900,271956,-250,7300.0,7046.0,5831.166666666667,8549.441385621667,7046.0,5542.558614378332
16,20150417,7600,7920,6930,602867,600,7264.0,6953.0,5906.333333333333,8012.076956599472,6953.0,5893.923043400528
17,20150420,8500,8500,7380,808796,900,7524.0,6975.5,5997.083333333333,8140.651921424842,6975.5,5810.348078575158
18,20150421,7840,8950,7830,777426,-660,7638.0,7012.5,6077.75,8236.622134429404,7012.5,5788.377865570596
19,20150422,7240,8000,6670,646151,-600,7636.0,6994.0,6147.0,8192.355539896236,6994.0,5795.644460103764
20,20150423,7080,7410,6860,256670,-160,7652.0,6985.5,6215.166666666667,8178.872950925233,6985.5,5792.127049074767
21,20150424,7410,7550,7020,406836,330,7614.0,7022.5,6288.0,8220.32928666818,7022.5,5824.6707133318205
22,20150427,7700,7940,7200,362076,290,7454.0,7082.0,6366.5,8290.264871623767,7082.0,5873.735128376233
23,20150428,7410,7800,7370,228312,-290,7368.0,7125.0,6442.333333333333,8315.554492662977,7125.0,5934.445507337023
24,20150429,7470,7660,7210,195790,60,7414.0,7191.0,6517.416666666667,8301.709683040532,7191.0,6080.290316959467
25,20150430,7370,7560,7330,117224,-100,7472.0,7250.0,6590.5,8262.79810426363,7250.0,6237.201895736372
26,20150504,7130,7510,6890,180438,-240,7416.0,7291.0,6659.333333333333,8210.345419306585,7291.0,6371.654580693416
27,20150506,7030,7100,6810,114623,-100,7282.0,7308.5,6719.0,8193.333882714716,7308.5,6423.666117285284
