timestep,action,reward
1,0.4852536916732788,-6.98165137614679e-05
2,-0.9030076265335083,0.012599633027522936
3,0.08961031585931778,0.011784220183486238
4,0.35641181468963623,0.014088256880733944
5,0.25495603680610657,0.01208559633027523
6,-0.36843568086624146,0.018982201834862385
7,0.5177361965179443,0.012948256880733944
8,0.30461692810058594,0.015301238532110092
9,0.7728477716445923,0.021571284403669726
10,0.8327721357345581,0.030767201834862385
11,0.4382780194282532,-1
12,0.5477882027626038,-1
13,0.6424272656440735,-1
14,0.8953678011894226,-1
15,0.03705928474664688,-1
16,-1.057969331741333,-1
17,-0.47179651260375977,0.0395404128440367
18,0.24978291988372803,0.03834816513761468
19,-0.48438015580177307,0.06460307339449542
20,0.21073253452777863,0.058892981651376144
21,0.6515368819236755,0.047399954128440364
22,0.43889927864074707,0.031947844036697245
23,0.4610733389854431,0.02731697247706422
24,-0.4689130187034607,0.015201330275229357
25,-0.9277628064155579,0.04566229357798165
26,-1.237034559249878,-1
27,0.29535141587257385,0.04396766055045872
28,1.3663421869277954,-1
29,0.2836681604385376,0.04224591743119266
