episode,timestep,reward
1,2000,-38.4855
3,4000,-39.7204
5,6000,-39.7504
7,8000,-38.6916
9,10000,-34.5697
11,12000,-38.9952
13,14000,-35.6992
15,16000,-35.09
17,18000,-34.3958
19,20000,-34.8315
21,22000,-36.2546
23,24000,-36.5419
25,26000,-34.4228
27,28000,-33.9687
29,30000,-36.8497
31,32000,-37.965
33,34000,-36.8955
35,36000,-35.9893
37,38000,-34.3832
39,40000,-35.8078
41,42000,-35.2384
43,44000,-34.0386
45,46000,-36.2663
47,48000,-36.0825
49,50000,-37.3734
51,52000,-37.216
53,54000,-36.9028
55,56000,-35.7053
57,58000,-34.317
59,60000,-37.307
61,62000,-34.773
63,64000,-36.3644
65,66000,-37.2017
67,68000,-35.2642
69,70000,-35.802
71,72000,-35.5921
73,74000,-35.9974
75,76000,-37.3688
77,78000,-35.3418
79,80000,-35.1841
81,82000,-36.1968
83,84000,-36.7373
85,86000,-35.7681
87,88000,-38.6924
89,90000,-36.3426
91,92000,-37.8708
93,94000,-37.2696
95,96000,-35.7137
97,98000,-35.197
99,100000,-35.3834
101,102000,-37.8407
103,104000,-37.3497
105,106000,-35.9632
107,108000,-36.4978
109,110000,-34.9728
111,112000,-36.1932
113,114000,-36.7028
115,116000,-35.9106
117,118000,-35.9777
119,120000,-33.9685
121,122000,-34.8303
123,124000,-36.3764
125,126000,-36.1924
127,128000,-35.2524
129,130000,-35.5754
131,132000,-36.5764
133,134000,-34.9129
135,136000,-36.1026
137,138000,-36.8437
139,140000,-36.7457
141,142000,-37.3128
143,144000,-34.2371
145,146000,-35.2905
147,148000,-37.4264
149,150000,-38.4467
151,152000,-36.5987
153,154000,-37.5202
155,156000,-35.4951
157,158000,-35.0612
159,160000,-35.2464
161,162000,-37.9197
163,164000,-36.17
165,166000,-35.3578
168,168000,-2.7596
170,170000,-36.9315
172,172000,-36.7237
174,174000,-33.2237
176,176000,-35.0765
178,178000,-38.1105
180,180000,-34.756
182,182000,-35.6753
184,184000,-36.7024
186,186000,-36.5196
188,188000,-35.2371
190,190000,-38.2256
192,192000,-36.5366
194,194000,-35.7359
196,196000,-36.61
198,198000,-36.0344
200,200000,-37.0363
202,202000,-34.164
204,204000,-37.3134
206,206000,-33.2879
208,208000,-38.074
210,210000,-39.5309
212,212000,-37.7284
214,214000,-36.7763
216,216000,-36.6003
218,218000,-35.9
220,220000,-36.3628
222,222000,-35.6171
224,224000,-36.7969
226,226000,-37.9354
228,228000,-35.9299
230,230000,-36.553
232,232000,-37.0569
234,234000,-35.5013
236,236000,-36.1744
238,238000,-38.1346
240,240000,-34.7638
242,242000,-34.7453
244,244000,-35.7716
246,246000,-35.4404
248,248000,-34.9227
250,250000,-38.8851
252,252000,-30.6805
254,254000,-29.6765
256,256000,-30.9007
258,258000,-28.6741
260,260000,-30.9485
262,262000,-29.0351
264,264000,-30.467
266,266000,-30.0959
268,268000,-30.3761
270,270000,-29.8887
272,272000,-31.2207
274,274000,-32.817
276,276000,-30.5397
278,278000,-31.5145
280,280000,-31.366
282,282000,-29.3022
284,284000,-31.1055
286,286000,-29.5412
288,288000,-28.921
290,290000,-31.3226
292,292000,-28.9662
294,294000,-30.5384
296,296000,-31.4168
298,298000,-29.7231
300,300000,-32.3232
302,302000,-30.3482
304,304000,-31.2596
306,306000,-31.3663
308,308000,-31.397
310,310000,-31.44
312,312000,-29.6972
314,314000,-31.5533
316,316000,-30.1498
318,318000,-33.1259
320,320000,-30.8248
322,322000,-30.1832
324,324000,-29.3659
326,326000,-31.7146
328,328000,-29.8073
330,330000,-31.1295
332,332000,-30.1206
334,334000,-29.9045
336,336000,-30.6368
338,338000,-30.9642
340,340000,-30.7848
342,342000,-28.7508
344,344000,-29.5335
346,346000,-29.3558
348,348000,-30.5096
350,350000,-28.5211
352,352000,-31.1089
354,354000,-30.9555
356,356000,-30.5291
358,358000,-31.0504
360,360000,-30.5053
362,362000,-30.1061
364,364000,-29.4212
366,366000,-30.0897
368,368000,-29.825
370,370000,-31.7669
372,372000,-31.874
374,374000,-30.1086
376,376000,-30.2886
378,378000,-29.4496
380,380000,-30.0552
382,382000,-31.208
384,384000,-30.6939
386,386000,-31.2286
388,388000,-31.1476
390,390000,-30.4362
392,392000,-31.0889
394,394000,-29.7574
396,396000,-29.3204
398,398000,-30.4477
400,400000,-31.0594
402,402000,-29.6491
404,404000,-31.5025
406,406000,-29.5278
408,408000,-29.9283
410,410000,-30.6078
