episode,timestep,reward
1,2000,-43.2061
3,4000,-41.6718
5,6000,-40.3603
7,8000,-38.605
9,10000,-36.0339
11,12000,-38.5641
13,14000,-37.1501
15,16000,-37.3527
17,18000,-36.393
19,20000,-36.5983
21,22000,-35.6475
23,24000,-37.7148
25,26000,-36.6678
27,28000,-38.1263
29,30000,-36.8697
31,32000,-36.3303
33,34000,-37.7859
35,36000,-34.8902
37,38000,-35.4327
39,40000,-37.3779
41,42000,-39.2024
43,44000,-36.5213
45,46000,-36.898
47,48000,-35.7017
49,50000,-36.4498
51,52000,-34.4005
53,54000,-38.656
55,56000,-35.6493
57,58000,-35.2458
59,60000,-35.123
61,62000,-38.6026
63,64000,-36.6555
65,66000,-33.9523
67,68000,-36.6061
69,70000,-36.1242
71,72000,-38.02
73,74000,-33.9992
75,76000,-36.1134
77,78000,-35.819
79,80000,-39.0805
81,82000,-34.978
83,84000,-36.1857
85,86000,-35.4835
87,88000,-34.5103
89,90000,-37.9339
91,92000,-36.2546
93,94000,-36.2286
95,96000,-37.0279
97,98000,-37.7397
99,100000,-37.5859
101,102000,-35.9194
103,104000,-36.9492
105,106000,-36.2095
107,108000,-36.4386
109,110000,-34.7499
111,112000,-35.7932
113,114000,-35.373
115,116000,-34.4531
117,118000,-36.7824
119,120000,-35.8288
121,122000,-35.9906
123,124000,-37.1
125,126000,-35.967
127,128000,-35.7038
129,130000,-35.9636
131,132000,-36.0006
133,134000,-35.1235
135,136000,-35.2111
137,138000,-36.5753
139,140000,-36.639
141,142000,-34.5516
143,144000,-36.4274
145,146000,-36.0667
147,148000,-36.5331
149,150000,-37.545
151,152000,-36.3274
153,154000,-36.5825
155,156000,-36.6014
157,158000,-35.8151
159,160000,-37.4357
161,162000,-37.4665
163,164000,-35.5602
165,166000,-36.1779
167,168000,-36.472
169,170000,-35.0161
171,172000,-36.7908
173,174000,-35.4261
175,176000,-37.0206
177,178000,-37.4831
179,180000,-34.5355
181,182000,-36.2472
183,184000,-33.9761
185,186000,-36.372
187,188000,-35.6381
189,190000,-36.5126
191,192000,-36.5923
193,194000,-35.3208
195,196000,-37.0618
197,198000,-36.7806
199,200000,-37.1599
201,202000,-36.5697
203,204000,-36.6848
205,206000,-36.3134
207,208000,-34.1553
209,210000,-34.5816
211,212000,-34.3427
213,214000,-36.4003
215,216000,-35.749
217,218000,-33.4193
219,220000,-36.4205
221,222000,-37.0842
223,224000,-35.5775
225,226000,-35.9492
227,228000,-34.7078
229,230000,-35.5504
231,232000,-38.3873
233,234000,-32.1459
235,236000,-35.5291
237,238000,-37.6396
239,240000,-36.8752
241,242000,-36.4165
243,244000,-35.0643
245,246000,-36.3598
247,248000,-35.5713
249,250000,-37.6325
251,252000,-32.5121
253,254000,-31.356
255,256000,-30.7556
257,258000,-30.8364
259,260000,-30.1334
261,262000,-30.3064
263,264000,-29.8337
265,266000,-29.1904
267,268000,-30.2601
269,270000,-29.3502
271,272000,-31.341
273,274000,-29.7824
275,276000,-29.3988
277,278000,-30.2164
279,280000,-29.6336
281,282000,-31.143
283,284000,-30.9732
285,286000,-29.9264
287,288000,-30.0165
289,290000,-30.6001
291,292000,-31.3924
293,294000,-28.6532
295,296000,-30.861
297,298000,-31.1408
299,300000,-29.6575
301,302000,-29.0508
303,304000,-31.0342
305,306000,-32.9477
307,308000,-30.1485
309,310000,-30.4282
311,312000,-30.2197
313,314000,-30.3374
315,316000,-30.1723
317,318000,-31.4517
319,320000,-31.0313
321,322000,-29.5248
323,324000,-30.3823
325,326000,-32.0341
327,328000,-28.9409
329,330000,-31.4048
331,332000,-31.3022
333,334000,-30.06
335,336000,-29.6166
337,338000,-30.5489
339,340000,-29.9794
341,342000,-29.8645
343,344000,-28.9871
345,346000,-30.4189
347,348000,-30.5279
349,350000,-30.4193
351,352000,-31.0001
354,354000,2.3968
356,356000,-31.1213
358,358000,20.3481
360,360000,19.3766
362,362000,22.3057
364,364000,72.3095
367,366000,77.3301
369,368000,21.2033
372,370000,37.2621
374,372000,76.6676
377,374000,42.2862
381,376000,81.5384
384,378000,83.2201
388,380000,80.5031
392,382000,81.7841
395,384000,80.5987
399,386000,54.0448
403,388000,83.4639
408,390000,84.6266
412,392000,83.113
417,394000,85.7135
422,396000,85.3004
428,398000,88.1457
432,400000,83.1208
438,402000,85.7768
445,404000,87.2055
452,406000,87.7549
459,408000,88.405
466,410000,87.967
473,412000,87.1518
481,414000,87.6158
488,416000,85.0629
497,418000,88.1301
503,420000,85.9242
512,422000,86.2317
522,424000,88.2517
532,426000,87.3722
541,428000,87.2439
550,430000,86.6298
561,432000,88.0367
572,434000,88.6692
582,436000,86.9922
593,438000,88.2829
605,440000,87.0099
617,442000,87.3129
630,444000,88.591
643,446000,88.602
655,448000,88.2508
669,450000,89.1021
682,452000,87.5424
696,454000,89.0886
709,456000,87.8824
722,458000,87.8898
737,460000,88.7985
751,462000,88.6581
766,464000,89.0046
784,466000,90.0424
798,468000,87.1099
812,470000,87.7167
830,472000,89.6977
845,474000,88.1397
862,476000,89.7617
878,478000,88.4693
895,480000,89.909
911,482000,88.5813
928,484000,87.9154
946,486000,89.3322
963,488000,89.2348
980,490000,88.5887
999,492000,88.9821
1017,494000,89.3258
1033,496000,87.6688
1049,498000,87.1298
1069,500000,89.2491
1088,502000,89.5288
1108,504000,89.7981
1127,506000,89.3563
1148,508000,90.0781
1168,510000,89.2572
1186,512000,87.5894
1204,514000,88.324
1225,516000,88.8816
1246,518000,89.085
1269,520000,90.0881
1289,522000,89.2397
1307,524000,87.6994
1326,526000,88.8278
1347,528000,89.024
1366,530000,88.6246
1385,532000,88.6037
1406,534000,89.3035
1428,536000,89.6922
1450,538000,89.3202
1471,540000,89.4752
1493,542000,89.3843
1512,544000,88.7392
1533,546000,89.1105
1556,548000,89.9331
1577,550000,89.2508
1595,552000,88.1041
1617,554000,89.4133
1640,556000,89.9055
1662,558000,89.8618
1683,560000,89.2828
1703,562000,88.2215
1723,564000,88.7197
1744,566000,89.3214
1765,568000,89.4695
1784,570000,89.1157
1805,572000,88.9938
1822,574000,87.2825
1840,576000,88.727
1858,578000,88.1683
1877,580000,89.1917
1896,582000,88.4636
1916,584000,89.4194
1936,586000,89.5001
1956,588000,89.0539
1976,590000,88.7219
1997,592000,88.8047
2016,594000,88.4392
2036,596000,88.7354
2057,598000,89.1567
2075,600000,88.5865
2095,602000,88.978
2114,604000,88.9788
2132,606000,88.3626
2151,608000,88.9222
2170,610000,87.8555
2190,612000,89.5459
2207,614000,87.1126
2226,616000,88.769
2245,618000,89.0114
2265,620000,89.6305
2282,622000,87.5425
2298,624000,87.6245
2315,626000,87.5513
2333,628000,88.7318
2350,630000,87.6941
