timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio
1,-0.62853897,-1.0,21600000.0,0.0,0.0,0.0
2,0.11859143,-1.0000097222222222,21599790.0,1.0,-473699.0149524791,0.0
3,-1.3999887,-1.0,21535790.0,0.0,-448657.23809523805,0.0
4,-0.13909,-2.0029629917698273,21535790.0,0.0,-1844.8795875296062,-1568.0195430428944
5,-1.2851772,-1.0,21542790.0,0.0,-1545.1249268475246,-1459.1614997407423
6,-1.3090999,-1.0,21555790.0,0.0,-1476.909141064777,-1494.363923005737
7,-0.27990317,-1.999907131338112,21537790.0,0.0,-1493.0888617614817,-1488.028104456845
8,-1.6384711,-1.0,21548790.0,0.0,-1504.1573482334193,-1466.2495281721199
9,0.037345886,-1.9994892697904474,21548790.0,0.0,-1481.426005351551,-1443.4405813961096
10,-0.6619147,-1.998329372554097,21584790.0,0.0,-1358.2416755431632,-1429.8473706912148
11,-0.56224823,-2.0003706313566174,21576790.0,0.0,-1442.2788937447235,-1480.7963027609428
12,-1.3939567,-1.0,21593790.0,0.0,-1505.169498487661,-1531.8072186011386
13,-1.1404938,-1.0,21597790.0,0.0,-1534.969583466383,-1559.0772549366325
14,-0.76650524,-1.99870230928697,21604790.0,0.0,-1493.4616862747685,-1553.5797899244778
15,-0.62113905,-2.000509146351342,21593790.0,0.0,-1567.2262240817142,-1646.2638932422258
16,-1.7242259,-1.0,21588790.0,0.0,-1629.2920475119122,-1727.4043097199424
17,-1.5847378,-1.0,21560790.0,0.0,-1678.1860613829176,-1794.6508197830863
18,-0.6174545,-2.0000926192206183,21591790.0,0.0,-1747.9995069312197,-1854.2037093890829
19,-0.98496103,-2.0012504752963975,21564790.0,0.0,-1737.472760527785,-1886.5683487511694
20,-1.1290448,-1.0,21544790.0,0.0,-1789.4306927072114,-1983.577785477574
21,-1.4863997,-1.0,21558790.0,0.0,-1841.0818681083142,-2078.82393018406
22,-0.19297117,-1.9994899092455805,21575790.0,0.0,-1851.5486975985643,-2079.027391235733
23,-0.52726895,-2.0004634824495415,21565790.0,0.0,-1970.848952692398,-2217.5246473249967
24,-1.1768574,-1.0,21524790.0,0.0,-2030.0107505496849,-2288.9941031443486
25,-1.1545687,-1.0,21509790.0,0.0,-2075.34863089012,-2345.208404152393
26,-1.3639905,-1.0,21480790.0,0.0,-2187.0874185008965,-2476.824122974034
27,-1.547878,-1.0,21499790.0,0.0,-2238.5844552011467,-2540.5289967226477
28,-0.8369742,-2.0019011591970433,21524790.0,0.0,-2242.121364762403,-2568.4847066615653
29,-0.3857721,-2.0004645806068257,21514790.0,0.0,-2348.652303943806,-2692.561130505314
30,-0.40726167,-2.001766226860685,21476790.0,0.0,-2416.322786648427,-2795.4681278574535
31,-1.5735905,-1.0,21484790.0,0.0,-2390.8340083497624,-2789.895218611749
32,-0.80788016,-2.0011174854342757,21452790.0,0.0,-2292.248200650669,-2696.4382307279634
33,-1.7289989,-1.0,21450790.0,0.0,-2362.435618084982,-2799.9366102713043
34,-0.9906919,-2.000326297884797,21445790.0,0.0,-2527.0641657543183,-2980.4716723844417
35,-1.198586,-1.0,21447790.0,0.0,-2501.7694377864436,-2938.020382980461
36,-0.5383005,-1.999580337213038,21454790.0,0.0,-2461.5913074699106,-2891.4699802723694
37,-1.5087296,-1.0,21440790.0,0.0,-2473.282629580518,-2903.762279494942
38,-0.29796302,-2.000932192764413,21434790.0,0.0,-2510.67033342253,-2966.04673940894
39,-1.803132,-1.0,21452790.0,0.0,-2567.97530042319,-3051.5909576829035
40,-0.7255578,-1.9978539561152688,21480790.0,0.0,-2339.7123613415156,-2987.906439358114
41,-0.36781925,-2.0006517451173815,21466790.0,0.0,-2383.389245455834,-3051.4683537913124
42,-1.6090982,-1.0,21464790.0,0.0,-2381.555687437654,-3056.5680114043885
43,-0.5807102,-1.9995341641670692,21476790.0,0.0,-2392.982190886836,-3066.949476595765
44,-1.3732618,-1.0,21428790.0,0.0,-2359.005618674799,-3018.0473116153357
45,-1.182697,-1.0,21423790.0,0.0,-2328.563794886309,-2972.844681927885
46,-0.39712805,-2.002560904120215,21421790.0,0.0,-2162.26228054711,-2729.6417494180664
47,-0.6620751,-2.000746903036581,21405790.0,0.0,-2217.669665913917,-2810.4207171896965
48,-0.34529197,-1.9994394040117185,21417790.0,0.0,-2207.8161191471695,-2797.8077652500524
49,-0.57477546,-2.001400704741245,21387790.0,0.0,-2305.9328060054268,-2945.5850615453874
50,-1.1819311,-1.0,21451790.0,0.0,-2360.12367403467,-3037.890628516622
51,-0.79961115,-1.9968206158747583,21455790.0,0.0,-2130.517325444781,-3020.5762701823783
52,-1.6428156,-1.0,21428790.0,0.0,-1989.399721565717,-3040.4109300234995
53,-1.3407644,-1.0,21396790.0,0.0,-1836.9050278736254,-2982.4100899638806
54,-1.432945,-1.0,21376790.0,0.0,-1770.165176301715,-3021.3786980164064
55,-1.6267629,-1.0,21371790.0,0.0,-1739.1814009534794,-3096.117504585826
56,-1.5022902,-1.0,21391790.0,0.0,-1635.4769312771812,-3018.0898740769394
57,-1.161803,-1.0,21384790.0,0.0,-1609.3930811384294,-3063.6474318088804
58,-0.5751247,-2.0040082420642635,21369790.0,0.0,-1547.5801970536133,-2666.715284537171
59,-1.3920376,-1.0,21368790.0,0.0,-1521.1186279537817,-2460.537350243433
60,-0.44754952,-1.999532049683221,21379790.0,0.0,-1506.9749196124449,-2420.7605394588268
61,-1.1699603,-1.0,21380790.0,0.0,-1474.6854706902989,-2352.6794622448438
62,-0.01702696,-1.9992516296932759,21395790.0,0.0,-1519.2578426972561,-2410.468078939053
63,-1.2831779,-1.0,21435790.0,0.0,-1510.684112932287,-2383.7786640739864
64,-1.0806093,-1.0,21416790.0,0.0,-1512.7411902331269,-2374.080681877338
65,-1.0598512,-1.0,21383790.0,0.0,-1537.2165614925457,-2399.5012847990197
66,-0.90893704,-2.000140214500142,21392790.0,0.0,-1549.1785812041883,-2402.6326070729488
67,-0.8224968,-1.9998597658369945,21395790.0,0.0,-1532.257417314084,-2359.331294689716
68,-0.6783305,-2.000607596167283,21382790.0,0.0,-1543.4765316138337,-2383.5760783141923
69,-1.6956205,-1.0,21409790.0,0.0,-1565.4696269672065,-2424.4867207628276
70,-1.9410329,-1.0,21413790.0,0.0,-1613.009678006428,-2505.1428372442547
71,-1.9645092,-1.0,21382790.0,0.0,-1619.1583340241004,-2521.6183066478075
72,-0.1833784,-2.0017771301125813,21344790.0,0.0,-1583.1217763364557,-2481.4943037241314
73,-1.2305831,-1.0,21354790.0,0.0,-1602.8901782333646,-2528.3630245380687
74,-0.60603714,-1.999578351438454,21353790.0,0.0,-1594.048731829291,-2500.1863164951415
75,-0.99900955,-1.9987824175474236,21379790.0,0.0,-1604.981317049197,-2514.0926745554134
76,-1.0419762,-1.0,21373790.0,0.0,-1618.9987425674833,-2532.51626570372
77,-1.1123043,-1.0,21380790.0,0.0,-1625.0793942243554,-2538.2374720734833
78,-1.456421,-1.0,21339790.0,0.0,-1626.2945034824465,-2536.11885242269
79,-0.5700395,-2.001403194325108,21349790.0,0.0,-1623.3935135734669,-2552.064168951574
80,-0.32684553,-1.9977985731943968,21396790.0,0.0,-1600.5538688660454,-2535.5947411127086
81,-0.7652348,-1.9989250724057208,21419790.0,0.0,-1597.0264482622038,-2523.311017887728
82,-0.19306058,-2.0014005739552068,21389790.0,0.0,-1598.8261192120808,-2546.652729410479
83,-0.3951499,-2.000561015325536,21377790.0,0.0,-1599.5218739563347,-2551.853142344537
84,-1.4857061,-1.0,21367790.0,0.0,-1586.9714510573012,-2535.907556686854
85,-0.86367327,-2.0013565480809756,21348790.0,0.0,-1557.451344431695,-2507.0445113605338
86,-1.6375232,-1.0,21343790.0,0.0,-1538.5914509802267,-2494.3615192290854
87,-1.1487023,-1.0,21344790.0,0.0,-1551.708779253351,-2533.0532442904178
88,-1.1704912,-1.0,21344790.0,0.0,-1576.1573469695913,-2590.270695131919
89,-1.2693646,-1.0,21377790.0,0.0,-1564.7972572409346,-2588.4056439760325
90,-0.8065796,-2.0008899801815465,21329790.0,0.0,-1591.6197327965083,-2643.9934951258365
91,-1.8114424,-1.0,21299790.0,0.0,-1624.693235791481,-2710.133180360265
92,-0.42684025,-2.001875311477516,21289790.0,0.0,-1605.7245365791073,-2688.8571500532653
93,-0.4751206,-1.9996712038963278,21296790.0,0.0,-1617.6592038608992,-2696.285927001115
94,-0.91732717,-2.001079974963363,21273790.0,0.0,-1633.4681668657877,-2736.67836787578
95,-1.8532773,-1.0,21229790.0,0.0,-1630.5037597501816,-2745.429857435993
96,-1.7188267,-1.0,21250790.0,0.0,-1636.9164424350133,-2769.708983637277
97,-0.7221384,-2.0008461115767338,21255790.0,0.0,-1607.179305091261,-2727.999853577555
98,-0.30383426,-1.9992472639219714,21271790.0,0.0,-1588.71602770963,-2689.1941060977692
99,-0.7362777,-2.000141031854865,21268790.0,0.0,-1551.712419655693,-2608.212527192516
100,-0.5351498,-2.000658241489055,21254790.0,0.0,-1584.630844527407,-2667.1642530882787
101,-2.0517144,-1.0,21218790.0,0.0,-1582.6208253178986,-2667.3694194334653
102,-1.3963746,-1.0,21245790.0,0.0,-1584.7079536775893,-2674.450827061277
103,-1.2952625,-1.0,21268790.0,0.0,-1614.659516140431,-2728.598621704918
104,-1.8325553,-1.0,21253790.0,0.0,-1600.6193060831422,-2708.4081810910297
105,-1.9042245,-1.0,21215790.0,0.0,-1594.8259598567788,-2702.0950859973855
106,-0.2769646,-2.0028699413167574,21193790.0,0.0,-1531.9948477804744,-2559.014053886214
107,-1.7098347,-1.0,21193790.0,0.0,-1539.3390051355434,-2540.0707745659356
108,-0.41070044,-2.0005662035907688,21181790.0,0.0,-1565.2375478109034,-2582.526559198411
109,0.2309066,-2.0000286094801245,21181184.0,4.0,-1574.232575476885,-2577.1702137560656
110,-1.3371875,-1.0,21251184.0,0.0,-1601.8235113192175,-2603.0673385114833
111,-0.707824,-1.9950599078880575,21285821.0,3.0,-1526.6343451235552,-2612.565414144928
112,-0.7141376,-2.0004595077634075,21276040.0,1.0,-1538.924812677484,-2631.2902105841
113,-0.74758196,-1.9997649938616395,21281040.0,0.0,-1520.17561052773,-2589.026659672279
114,-1.048761,-1.0,21313040.0,0.0,-1534.4989359968022,-2603.2371348856045
115,-0.65798783,-1.9981673827970814,21320040.0,0.0,-1502.2049703547652,-2558.5981643005507
116,-0.11382681,-2.0007973718623417,21303040.0,0.0,-1496.9069070499395,-2555.652882084676
117,-1.7645717,-1.0,21322040.0,0.0,-1503.8199028057936,-2573.4591621183617
118,-1.2513753,-1.0,21338040.0,0.0,-1526.3171037540242,-2617.9500291051468
119,-0.7264037,-1.9989672835426306,21325040.0,0.0,-1509.5116531782965,-2586.284273448642
120,-0.96517503,-2.000890971365118,21306040.0,0.0,-1523.2837094473186,-2617.3612584708876
121,-1.6762141,-1.0,21315040.0,0.0,-1550.481330929484,-2671.5795029997375
122,-0.9159046,-1.9996245196197886,21314040.0,0.0,-1543.461652286053,-2650.571749657616
123,-0.53684664,-1.998639394502403,21343040.0,0.0,-1556.394850136052,-2674.7431254731264
124,-1.1298778,-1.0,21348040.0,0.0,-1553.1920062728207,-2670.961946558015
125,-1.2959977,-1.0,21381040.0,0.0,-1499.597889579512,-2580.246155565963
126,-1.1693364,-1.0,21341040.0,0.0,-1474.985525460937,-2539.119063411917
127,-0.67764676,-2.0003279757710244,21336040.0,0.0,-1474.0653436029581,-2532.167338314527
128,-1.1358528,-1.0,21322040.0,0.0,-1471.986839498429,-2523.5065978126477
129,-0.41453683,-2.000890512016288,21317040.0,0.0,-1493.0343915226674,-2567.1953854720164
130,-0.608242,-2.00065675159403,21303040.0,0.0,-1480.7208881557065,-2549.580041429468
131,-1.1150043,-1.0,21325040.0,0.0,-1434.602845890865,-2473.5787652943513
132,-0.73272616,-1.9989672835426306,21325040.0,0.0,-1467.9261645793326,-2528.448320890113
133,-0.476009,-2.000703398446146,21310040.0,0.0,-1455.8693435204373,-2512.082345859302
134,-0.76710665,-2.000187704950343,21306040.0,0.0,-1433.525443810333,-2464.4543789988306
135,-1.0950434,-1.0,21342040.0,0.0,-1443.2576403685694,-2472.473378669386
136,-1.1187238,-1.0,21442040.0,0.0,-1471.294435888271,-2512.0266364297913
137,-1.6963189,-1.0,21461040.0,0.0,-1478.8540857132589,-2516.794147359709
138,-0.21091855,-1.9931944181086678,21451040.0,0.0,-1407.0837698993928,-2586.946194952398
139,-2.0795155,-1.0,21443040.0,0.0,-1303.3837742638486,-2557.3921172525957
140,-0.9745981,-2.0002797067181826,21445040.0,0.0,-1307.917295255996,-2561.403413886218
141,-1.6847332,-1.0,21460040.0,0.0,-1272.6490864445486,-2487.791825465816
142,-1.8574991,-1.0,21456040.0,0.0,-1279.6553554143736,-2497.1186520311167
143,-0.031695247,-1.99990673834136,21447040.0,0.0,-1291.7558821019375,-2512.0925337079343
144,-0.6831913,-1.9995337351914295,21457040.0,0.0,-1309.6968575518022,-2539.2710780788316
145,-1.2232069,-1.0,21461040.0,0.0,-1319.7744452411894,-2551.1072559889185
146,-1.1717411,-1.0,21471040.0,0.0,-1331.5812812293532,-2566.2262983382184
147,-1.0530416,-1.0,21480040.0,0.0,-1324.6244972249567,-2545.222665650602
148,-0.17649418,-1.9987882764817515,21483040.0,0.0,-1321.0265935417385,-2535.40757094969
149,-1.556052,-1.0,21489040.0,0.0,-1301.6267494483377,-2495.27622811115
150,-1.7275189,-1.0,21499040.0,0.0,-1285.2330049922757,-2460.951312171898
151,-0.5190631,-1.9984639045498216,21516040.0,0.0,-1295.4234176394739,-2480.5033381346925
152,-1.1948799,-1.0,21563040.0,0.0,-1330.6175006029728,-2547.8243915497064
153,-0.6945621,-1.9973043366716179,21574040.0,0.0,-1326.3382658757635,-2555.6519016581688
154,-0.13144857,-2.0014369121407025,21543040.0,0.0,-1350.1048396320025,-2609.1048559628302
155,-1.0511594,-1.0,21521040.0,0.0,-1359.2605782850885,-2634.4299498790842
156,-0.21505713,-2.0004641870413833,21533040.0,0.0,-1357.9254122938557,-2632.665827815718
157,-1.0533895,-1.0,21529040.0,0.0,-1394.213233232529,-2703.895640439479
158,-0.39702988,-1.9999071194777884,21535040.0,0.0,-1460.3917446060732,-2823.387550578874
159,-1.0443996,-1.0,21512040.0,0.0,-1445.3155383305855,-2785.5608998515936
160,-0.39821833,-2.000510795429217,21524040.0,0.0,-1470.709364093267,-2836.680282259199
161,-0.83117455,-2.000743354872041,21508040.0,0.0,-1486.3298482483308,-2873.365504498559
162,-0.13460076,-2.0007904021007956,21491040.0,0.0,-1494.2338085294452,-2895.7921402945603
163,-1.0505334,-1.0,21454040.0,0.0,-1467.4968467718627,-2850.9068389076874
164,-1.1871293,-1.0,21461040.0,0.0,-1484.270697474972,-2890.41512996605
