episode,timestep,reward,loss,dist_entropy
5,2000,-143.2417,0.059708044,0.90811294
11,4000,-67.7897,0.36859155,0.90811294
16,6000,-69.9694,0.14403795,0.90811294
22,8000,-87.1061,0.68836045,0.90811294
27,10000,-76.7772,0.4601847,0.90811294
33,12000,-81.88,0.33119193,0.90811294
38,14000,-59.1336,0.3579005,0.90811294
44,16000,-121.1604,0.16720992,0.90811294
50,18000,-68.1068,0.4321087,0.90811294
55,20000,-71.3317,0.8429949,0.90811294
61,22000,-73.6939,0.15740205,0.90811294
66,24000,-81.1163,0.28313863,0.90811294
72,26000,-66.9682,0.513099,0.90811294
77,28000,-148.7089,0.28960449,0.90811294
83,30000,-42.4861,0.11739631,0.90811294
89,32000,-79.3318,0.04857574,0.90811294
94,34000,-60.9298,0.30260396,0.90811294
100,36000,-65.4268,0.4838084,0.90811294
105,38000,-81.301,1.0119047,0.90811294
111,40000,-56.3706,0.28883755,0.90811294
116,42000,-45.05,0.35006508,0.90811294
122,44000,-48.1104,0.3074454,0.90811294
128,46000,-89.5995,0.14471808,0.90811294
133,48000,-75.0615,0.27249196,0.90811294
139,50000,-74.7504,0.2825517,0.90811294
144,52000,-88.7748,0.49040663,0.90811294
150,54000,-79.4381,0.34706062,0.90811294
155,56000,-84.8808,0.53211725,0.90811294
161,58000,-102.7941,-0.03940174,0.90811294
167,60000,-91.5642,0.26001135,0.90811294
172,62000,-53.7653,0.345662,0.90811294
178,64000,-49.7866,0.51272655,0.90811294
183,66000,-64.1723,0.13682967,0.90811294
189,68000,-74.4638,0.2552312,0.90811294
194,70000,-22.7749,0.48334745,0.90811294
200,72000,-70.7069,0.28215975,0.90811294
206,74000,-73.1378,0.55082506,0.90811294
211,76000,-96.5407,0.50352556,0.90811294
217,78000,-81.7036,0.260396,0.90811294
222,80000,-70.5783,0.38274023,0.90811294
228,82000,-79.5076,0.33527693,0.90811294
233,84000,-58.0886,0.08196178,0.90811294
239,86000,-71.9089,0.32743675,0.90811294
245,88000,-78.3764,0.15100515,0.90811294
250,90000,-77.0552,0.6435588,0.90811294
256,92000,-109.0026,0.51664084,0.90811294
261,94000,-62.7035,0.19006269,0.90811294
267,96000,-88.5954,0.13882405,0.90811294
272,98000,-95.6858,0.051337264,0.90811294
278,100000,-109.8438,0.66576505,0.90811294
284,102000,-96.0757,0.8151326,0.90811294
289,104000,-59.3779,0.060708538,0.90811294
295,106000,-71.7975,0.59019524,0.90811294
300,108000,-83.5474,-0.08098648,0.90811294
306,110000,-89.7994,0.34815466,0.90811294
311,112000,-51.9625,0.36556232,0.90811294
317,114000,-71.1004,0.25029787,0.90811294
323,116000,-78.1203,0.6650447,0.90811294
328,118000,-137.1561,0.29597196,0.90811294
334,120000,-103.4697,0.39218274,0.90811294
339,122000,-99.0506,0.02520459,0.90811294
345,124000,-91.0915,0.57293355,0.90811294
350,126000,-79.381,-0.08215566,0.90811294
356,128000,-62.2336,0.54476607,0.90811294
362,130000,-88.9425,0.3124162,0.90811294
367,132000,-88.2592,0.073777124,0.90811294
373,134000,-60.1562,-0.2929803,0.90811294
378,136000,-108.7485,0.32318556,0.90811294
384,138000,-78.1616,0.18226157,0.90811294
389,140000,-97.3033,0.28466848,0.90811294
395,142000,-69.5421,0.10172641,0.90811294
401,144000,-71.4878,0.47486493,0.90811294
406,146000,-20.6676,0.2958967,0.90811294
412,148000,-59.5957,0.1313735,0.90811294
417,150000,-80.3184,0.41315836,0.90811294
