timestep,action,reward,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,0.29411596,-0.05006654077253219,23299031.0,243.0,-90508.91434468524,0.0,-4.1587982832618025e-05
2,0.18996397,-0.16592049929556035,23067738.0,115.0,-380.2985113296465,-359.3054466482936,-0.009927151047612237
3,-0.21218005,-0.15426532566316128,23135971.0,75.0,-370.77403026358235,-365.591693544048,0.0029579406528719896
4,-0.060202178,-0.1495662472641937,23234249.0,17.0,-367.3068096212267,-369.796220883493,0.004247844190330287
5,0.20396356,-0.13062457015613113,23552994.0,111.0,-253.07418462110593,-358.1266695305796,0.013718756306691901
6,0.0659519,-0.11060379455744333,23986429.0,27.0,-201.81578063536503,-354.9700743194055,0.018402543642646877
7,0.29145288,-0.119409393733689,24046541.0,114.0,-217.50334970681706,-358.6967382870933,0.0025060837526086105
8,0.2090501,-0.14223298867064044,23735494.0,59.0,-192.11105622706128,-325.96032185045465,-0.012935207604287036
9,0.05238218,-0.12139019792415189,23908548.0,11.0,-200.40540258557485,-327.5168165089082,0.007290937361573347
10,0.039059915,-0.10653213964389131,24202514.0,8.0,-198.6642647926825,-325.40768699830477,0.012295435088738973
11,-0.08116545,-0.09517369006683912,24498080.0,48.0,-196.5683342614506,-320.0179698854017,0.01221220241831076
12,0.08964263,-0.10741092217851726,24443189.0,21.0,-199.52171033984948,-330.0564603552054,-0.0022406245713949826
13,0.14066252,-0.10585156567846615,24443054.0,31.0,-202.91356924952314,-321.7398906186161,-5.523010929547695e-06
14,-0.11271346,-0.13835668174617805,23959754.0,67.0,-174.59106829607003,-238.63817961027723,-0.019772488331449907
15,0.33030167,-0.09018904114023196,24465735.0,84.0,-164.54278495157024,-241.25634994256404,0.021117954716897345
16,0.16390496,-0.06349393368408263,25082613.0,27.0,-153.33667499525373,-243.49986329872695,0.02521395739796904
17,-0.059602678,-0.08341851457576073,25048423.0,38.0,-157.90043949742994,-252.79594996833794,-0.0013630956232510544
18,0.18499221,-0.08247426693908327,25048274.0,33.0,-160.3406748686135,-254.75211276224357,-5.948478273462565e-06
19,-0.2197335,-0.14249273362387854,24146663.0,140.0,-129.79631438831905,-156.18037511367658,-0.03599493521988781
20,-0.06794518,-0.11572116139858109,24169958.0,33.0,-133.28199802675184,-156.52579887539991,0.0009647295777474511
21,-0.30700278,-0.12475131767193161,24046344.0,143.0,-136.98445730381667,-165.65951212065247,-0.005114365527652137
22,0.21599442,-0.11244909877962278,24175109.0,100.0,-143.8969657400994,-170.4976147026128,0.005354868083064935
23,-0.4398786,-0.12682937331713673,24017791.0,186.0,-145.78711663495037,-178.46515197979647,-0.006507437050232121
24,0.13880801,-0.12952444852978295,23910810.0,78.0,-147.92888906128118,-184.9148770926994,-0.004454239775839502
25,-0.007284295,-0.141385338048404,23690215.0,2.0,-150.1205260188301,-193.8697289158869,-0.009225743502624964
26,0.22308289,-0.13389147160122888,23705409.0,110.0,-148.8916014848564,-188.68840922929806,0.0006413618449642606
27,-0.04540129,-0.12863701667206828,23789091.0,19.0,-148.97202767655472,-185.55913437376907,0.0035300804132930167
28,-0.12657511,-0.12852713806037752,23827017.0,51.0,-150.87722063880685,-184.6765845799926,0.0015942601589947257
29,0.051802207,-0.11404575972450139,24056373.0,22.0,-152.86842860757142,-185.61321319123417,0.009625879731399025
30,-0.16639793,-0.1197225581929864,24072044.0,62.0,-157.0463086398346,-187.59025977267913,0.000651428209896812
31,0.0033041686,-0.1371324073254343,23821640.0,1.0,-156.47822197469154,-193.46893291481922,-0.010402274106843606
32,0.2160151,-0.136287574595863,23726998.0,107.0,-157.73349679501422,-197.81462523488904,-0.003972942249148253
33,-0.15382513,-0.15092018523237383,23471399.0,64.0,-158.71783560343778,-204.8942063652798,-0.010772496377333534
34,-0.19531816,-0.13505069845746848,23593075.0,69.0,-156.99455052886216,-200.2703279812029,0.005184011400428241
35,0.2378813,-0.1436318100959046,23520563.0,126.0,-157.7761373156953,-202.7915446318615,-0.003073444220390941
36,0.17768973,-0.1556565749662288,23313272.0,73.0,-160.40976003051267,-211.08000083120382,-0.008813181895348339
37,0.043671373,-0.14781950563187463,23337566.0,14.0,-162.7245910732647,-211.31050078963435,0.0010420673683213578
38,-0.037214946,-0.15891925824737282,23186442.0,18.0,-161.95415529627775,-214.06617456003528,-0.0064755681890733595
39,-0.16233538,-0.15629368323542703,23158726.0,78.0,-166.05036169928763,-218.76029121383874,-0.0011953537330134567
40,-0.026525505,-0.1652478722350471,23016525.0,10.0,-168.0440083691647,-224.75248758533763,-0.006140277319227319
41,0.12880859,-0.17732730707202798,22779304.0,58.0,-170.58139038537695,-232.50505934388056,-0.010306551488550074
42,-0.2028063,-0.1421242112947811,23182851.0,91.0,-164.83424988167098,-229.40393170132003,0.017715510535352617
43,0.090952575,-0.1707300861070178,22947386.0,43.0,-166.06844820567355,-235.36336740389154,-0.010156861207450282
44,0.3178488,-0.16365726843948056,22946851.0,139.0,-167.66753205360638,-235.0964181977703,-2.331420232352391e-05
45,-0.12459841,-0.16008736224219028,22998254.0,67.0,-174.18393835638662,-241.7079462987063,0.0022400895007336735
46,0.29382488,-0.14850680093250118,23188638.0,106.0,-173.74079188296895,-240.1237229462383,0.008278193640265039
47,0.109785184,-0.17236227067897605,22926180.0,28.0,-175.08354631450692,-245.99492021620716,-0.011318387910493062
48,0.14987212,-0.1538844315115328,23078798.0,34.0,-174.85163728511074,-244.20384851568883,0.00665693107181397
49,0.12529169,-0.15410293894447907,23143205.0,24.0,-172.97912283281812,-239.34430754505706,0.0027907432614124876
50,0.07659455,-0.15605990288088742,23143155.0,13.0,-176.72655517202864,-242.24970474924214,-2.1604613535592846e-06
51,-0.059832495,-0.15853134929794865,23107249.0,40.0,-178.85842689197418,-244.85417158091806,-0.001551473859117307
52,0.23601459,-0.15745765430043596,23107070.0,46.0,-180.86563135232566,-245.85634591015298,-7.74648682757519e-06
53,-0.21956445,-0.07971191748418317,24235043.0,151.0,-147.47929753590356,-237.3802249568665,0.04881505963326376
54,-0.15809382,-0.11415378354062726,24231024.0,84.0,-148.42528401780854,-237.6761607671173,-0.00016583424258830487
55,-0.023412492,-0.15229903295025998,23664317.0,10.0,-145.73467987825413,-225.41139445675273,-0.023387662031947143
56,0.023025487,-0.1283761303024793,23775032.0,9.0,-145.9027692874546,-223.92767979543098,0.004678563087200023
57,0.13630405,-0.1408955428280344,23639223.0,53.0,-148.4134531055175,-229.91868825598235,-0.005712253089711929
58,0.6175777,-0.1438460925720094,23537387.0,213.0,-148.8650145487574,-232.128154722001,-0.0043079250109024315
59,-0.006578639,-0.18992960878495702,22819213.0,4.0,-143.21443921238856,-209.19544142390004,-0.03051205301591039
60,0.013814064,-0.21310545228569722,22176606.0,2.0,-140.53867867633556,-198.95999255170258,-0.028160787140205056
61,-0.04205486,-0.16081707095028536,22640706.0,30.0,-137.13530837669785,-196.88639959852077,0.02092745842172603
62,-0.12784226,-0.1852680148966525,22499764.0,87.0,-138.25293231794817,-199.9443757643177,-0.00622515923310872
63,0.063551575,-0.1850918269862093,22439805.0,16.0,-139.4367268582598,-201.8641034896591,-0.002664872395994909
64,0.15447645,-0.18323598181018214,22439668.0,37.0,-140.83281176319397,-202.83952438004516,-6.105222393866614e-06
65,-0.027582135,-0.18328253810958706,22438940.0,17.0,-142.38479657878608,-204.150789415227,-3.244254772396811e-05
66,-0.05787676,-0.19223409869123476,22310410.0,36.0,-145.05959176158507,-209.25713473766814,-0.005727988933523598
67,0.16991735,-0.17565653987921181,22489947.0,44.0,-145.8237075814935,-209.5190154259021,0.008047229970224662
68,0.08669569,-0.16335415569869466,22747080.0,18.0,-147.3028080914216,-211.45517303015515,0.011433241705727452
69,-0.025179144,-0.18516728910475222,22548090.0,16.0,-146.493472280485,-212.08995243007507,-0.00874793599881831
70,0.32069492,-0.13861699255209797,23128339.0,65.0,-141.03834687923896,-208.86534452684413,0.025733842644765033
71,0.3203325,-0.17376225166900228,22879668.0,45.0,-139.59560037247027,-208.5288531063834,-0.010751788098574654
72,0.112657376,-0.15578619010905229,23030630.0,10.0,-141.1981060470627,-209.87473290850636,0.006598085251936348
73,0.13541663,-0.16304779865358968,22992338.0,11.0,-142.67268075371587,-211.9276123187167,-0.001662655342037973
74,0.0003518574,-0.07344474754782325,24272738.0,0.0,-123.21827696840016,-204.05876226781788,0.055688116623894446
75,0.02691577,-0.09410305620787104,24544334.0,1.0,-125.24400995746177,-206.80228727941022,0.011189343369503679
76,-0.024822738,-0.11764745829465252,24310340.0,19.0,-126.20043596753898,-210.0821143668718,-0.009533524111919272
