timestep,action,reward,price,current_amt,order_qty,sharp_ratio,sortino_ratio,daily_rate
1,0.08595243,-0.33672200920446216,54300.0,46199438.0,73.0,-3485.907473309609,0.0,-0.33672200920446216
2,-1.3615409,-1.0,54500.0,46214038.0,0.0,-3502.7452889972906,0.0,6.2359537952376165
3,0.086061805,-0.8275374910072001,50800.0,45943426.0,71.0,-10.67337707244209,-9.811333677329271,-0.8275374910072001
4,-0.028285533,0.164506971928304,51300.0,46015090.0,4.0,-9.945006582555992,-9.33515725068664,0.164506971928304
5,-0.9206445,-0.578109767517976,51200.0,45990330.0,128.0,-11.074242028872158,-10.63381251207372,-0.578109767517976
6,-0.7251259,2.1263557097401105,51500.0,45993254.0,8.0,-11.879912262111961,-10.662464755460622,2.1263557097401105
7,0.32003826,-0.40344384063287486,50400.0,45986779.0,290.0,-12.588894590632815,-11.459946358290985,-0.40344384063287486
8,-0.07774843,-1,50700.0,46073148.0,22.0,-11.469662250211272,-10.666661497482751,-1.1056168190912006
9,-0.31892058,-0.15398762959449566,51500.0,46283477.0,86.0,-7.621082453862225,-8.479761853535408,-0.15398762959449566
10,-1.1062825,-1.0,51600.0,46302077.0,0.0,-6.708100457054672,-8.125873858093753,0.04018712768705774
11,-0.28480625,1.1539871676451672,51600.0,46297672.0,52.0,-6.725349387459037,-7.803515563426714,1.1539871676451672
12,-0.3751951,-1,50900.0,46199694.0,50.0,-7.497456037210428,-9.423769972817873,-2.317662303012202
13,-0.28733414,0.714455326226516,52200.0,46306838.0,24.0,-6.8489791398012,-8.476140067032006,0.714455326226516
14,-0.5146748,1.6791115633728688,51800.0,46280287.0,30.0,-7.147687983482385,-9.177577126993665,1.6791115633728688
15,-0.4155087,0.0,50900.0,46252285.0,12.0,-7.492671261487777,-9.935177310804805,0.0
16,-0.8850962,1.5665201603890186,50900.0,46251032.0,15.0,-7.751131375395556,-10.335895771769264,1.5665201603890186
17,-0.8099136,-1,50100.0,46248468.0,2.0,-7.967253662756142,-10.705902905560322,-2.9907686253708614
18,-0.43223518,-0.3871644664931771,51600.0,46249968.0,0.0,-8.292698143627776,-10.850630735017731,-0.3871644664931771
19,-0.6052383,-1,51800.0,46250168.0,0.0,-8.430447478729986,-10.756598529438058,-4.242347507626024
20,-0.7962996,0.0,54000.0,46252368.0,0.0,-8.774160498219853,-10.928652407978369,0.0
21,-0.29865554,-1,54000.0,46252368.0,0.0,-8.891934922295087,-10.825071911116831,-2.0346587804253975
22,0.25368077,2.166975223581293,55100.0,46251810.0,212.0,-8.971526936520245,-11.040854005189939,2.166975223581293
23,-0.67102003,2.057363822570429,53500.0,45898537.0,142.0,-10.207493008452719,-10.501800754975571,2.057363822570429
24,0.32747194,0.8280786259561593,52300.0,45811384.0,263.0,-11.165674519525698,-11.823971728869884,0.8280786259561593
