timestep,action,reward,rate_reward,rate_exp_reward,total_rate_reward,total_rate_exp_reward,net_income_rate_reward,net_income_rate_exp_reward,unrealized_gain_loss,unrealized_gain_loss_exp,reward_log,price,current_amt,total_rate,daily_rate,next_day_rate,order_qty,is_order,sharp_ratio,sortino_ratio,reward
1,0.4684404,0.0037694243360191413,0.05100006306066429,0.012920832133461846,0.044358803986710965,1.9676841319760108e-05,-1.168430611669298,-0.01,0.30699998140335083,0.0009420458817248623,buy,91700.0,60196004.0,-0.006637873754152823,-0.006637873754152823,0.05100006306066429,307.0,True,-502.4614614614615,0.0,0.0037694243360191413
2,0.37183064,-0.009999999999999998,-0.6426327246427324,-0.01,-2.1311910299003323,-0.01,-0.0363729483126809,-0.01,-13.079999923706055,-0.01,buy,91800.0,60225023.0,0.04156644518272425,0.04820751889112108,-2.171854712284626,129.0,True,-67.03763858434385,0.0,-0.009999999999999998
3,-0.28748286,-0.004999999999999999,0.0,0,-2.161466777408638,-0.01,-0.06664869582098643,-0.01,0.0,0,sell,88800.0,58898797.0,-2.161466777408638,-2.2021178804697175,0.0,125.0,True,-3.9190988420152992,-3.4265552552544416,-0.004999999999999999
4,0.20036831,-0.008492054855381851,-0.035657284561728425,-0.01,-2.352799003322259,-0.01,0.07277982798975868,5.2967630787659203e-05,-1.1430000066757202,-0.01,buy,88800.0,58897915.0,-2.1629318936877078,-0.0014974838959783848,-0.19406459464651676,70.0,True,-4.266219282192926,-3.6441136368332177,-0.008492054855381851
5,0.41868818,-0.008451531464847093,-0.08030304407750405,-0.01,-2.6868222591362128,-0.01,0.17977090514162652,0.00032312356768604555,-1.9959999322891235,-0.01,buy,88500.0,58782133.0,-2.3552607973421926,-0.1965808127503325,-0.33955896088357324,118.0,True,-4.8555798741239915,-4.255485580626772,-0.008451531464847093
6,-0.13491356,0.012196072684570812,0.09139723243311826,0.040907036156158205,-3.2770083056478403,-0.01,0.4716135245616413,0.002221721480716865,-3.4559998512268066,-0.01,sell,88100.0,58572841.0,-2.702921926910299,-0.35604696413449305,-0.5900345520204492,67.0,True,-5.745688454000917,-5.176897768712223,0.012196072684570812
7,0.48464388,0.0009603046484760219,0.03881794919575504,0.007505855214672952,-3.0982707641196017,-0.01,0.42984389960696934,0.0018459519114391032,1.0899999141693115,0.01181069775890975,buy,87300.0,58225841.0,-3.279333887043189,-0.5924247382844209,0.18720210498977594,113.0,True,-6.919387475916188,-6.416598356900399,0.0009603046484760219
8,0.079096265,-0.0064994439536258915,-0.061719919028270454,-0.01,-6.779518272425249,-0.01,1.1587397209595363,0.01333704030916072,-22.15999984741211,-0.01,buy,87500.0,58334730.0,-3.0984551495016612,0.18701146798377719,-3.7987661895409475,9.0,True,-6.781990529946299,-6.1623663716191714,-0.0064994439536258915
9,0.4363433,-0.006008074255586458,-0.12724649376456787,-0.01,-8.187498338870432,-0.01,1.2943098198947265,0.016612838296090282,-8.469999313354492,-0.01,buy,83500.0,56118126.0,-6.7805215946843855,-3.799801593321851,-1.5093162590639608,51.0,True,-6.7857701227995175,-6.232596129031545,-0.006008074255586458
10,-0.20487963,0.10263666043225447,0.2445054314770314,0.2583772068543204,-9.095770764119601,-0.01,1.598826810301567,0.025238517936842064,-5.302000045776367,-0.01,sell,82100.0,55254546.0,-8.215039867109635,-1.538861080286252,-0.9595590560096177,123.0,True,-8.188322395421121,-7.757967735771563,0.10263666043225447
11,0.36513385,-0.00463329078718193,-0.012792865553582666,-0.01,-9.188802325581396,-0.01,1.6160488320812298,0.025778061418787135,-0.5519999861717224,-0.01,buy,81000.0,54723541.0,-9.097107973421927,-0.9610159497102736,-0.10087066551486498,70.0,True,-9.308199647449804,-8.960411446565155,-0.00463329078718193
12,-0.81602335,0.40753417487673954,1.2344119279129426,0.9995089006158143,-9.542250830564784,-0.01,2.9164040757196705,0.08153743086942544,-1.5299999713897705,-0.01,sell,80900.0,54608565.0,-9.288098006644518,-0.21010336301154195,-0.28017582956080245,450.0,True,-9.78655550019467,-9.389247576158324,0.40753417487673954
