timestep,action,reward,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
1,0.6683482,0.495,61100,80292384,878,878,TRUE,0.495,-100,-32.75591532,-0.009484433,67.25046301,1,-32.75591532,-0.01,-34.24106383,-0.01,-32.74953699,-0.01,3.512,0.116038209,-7323.139706,0,buy
2,0.87137985,0.495,61500,80640288,1255,377,TRUE,0.495,-30.45317972,-0.600249066,0.433296388,29.43348098,1,-0.600249066,-0.01,-5.550744116,-0.01,-1.019698739,-0.01,26.355,0.999037388,-12.07211037,0,buy
3,0.12287825,-0.01,63600,83275738,1261,6,TRUE,-0.01,-1.797845762,-0.910211706,3.268155491,-2.653196149,-0.01,-0.910211706,-0.01,-5.035624247,-0.01,-4.451041911,-0.01,-6.305,-0.01,-2.04153409,0,buy
4,0.35238516,0.504329474,63100,82645099,1277,16,TRUE,0.504329474,-3.391069317,1.460273973,-0.757290197,1.972353611,0.999999996,1.460273973,0.021098252,-3.82025408,-0.01,-1.418715706,-0.01,8.939,0.550247213,-0.330446652,-1.232207747,buy
5,0.5962939,0.261506744,63800,83538823,1296,19,TRUE,0.261506744,-3.89097362,0.3875467,1.081399878,0.386467697,0.52611301,0.3875467,0.001500797,-2.252717327,-0.01,-3.504505923,-0.01,-20.736,-0.01,-1.166720668,-4.012949282,buy
6,0.1764012,0.507940058,62200,81465206,1298,2,TRUE,0.507940058,-2.263406321,1.835616438,-2.482219554,2.642456488,1,1.835616438,0.033133527,-2.124779601,-0.01,0.379050168,0.001435759,10.384,0.659818017,-0.016873104,-0.026446593,buy
7,0.4979483,0.028073141,63000,82503562,1303,5,TRUE,0.028073141,1.653704773,3.526027397,1.274600595,-0.892721871,-0.01,3.526027397,0.116910471,-1.754500656,-0.01,0.760982902,0.005774215,10.424,0.662637669,1.064400628,1.601295544,buy
8,-0.41125205,-0.01,63800,83489914,768,535,TRUE,-0.01,2.024443502,-38.21569116,1.195526564,-42.60073874,-0.01,-38.21569116,-0.01,-44.81635122,-0.01,-40.57629524,-0.01,6.144,0.314418133,-26.85435412,-38.70637384,sell
9,0.39662096,0.495,64600,84102379,979,211,TRUE,0.495,-40.30033376,-20.87534247,0.733579627,15.84766162,1,-20.87534247,-0.01,-27.97105204,-0.01,-24.45267214,-0.01,2.937,0.082644028,-16.04851458,-21.98542691,buy
10,0.5496857,0.495,64900,84394462,1155,176,TRUE,0.495,-25.73313533,-8.232876712,0.347294575,13.0481063,1,-8.232876712,-0.01,-13.51340477,-0.01,-12.68502902,-0.01,-12.705,-0.01,-7.470268157,-9.761055017,buy
11,0.7245246,0.521540762,63800,83122998,1261,106,TRUE,0.521540762,-10.35845456,2.858655044,-1.506572789,9.723855219,1,2.858655044,0.078469207,-5.227153537,-0.01,-0.634599344,-0.01,21.437,0.989902321,0.677333154,1.039749795,buy
12,1.1218565,-0.05,65500,85266702,1261,0,FALSE,-0.05,-0.634599344,2.858655044,2.578954142,-2.498161672,-0.01,2.858655044,0.078469207,-5.227153537,-0.01,-3.132761016,-0.01,0,0,0.654325073,1.058323486,wrong
