timestep,action,price,current_amt,qty,order_qty,is_order,reward,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
1,-0.036606256,2255000.0,84200000.0,0.0,0,False,-0.05,-100.0,0.0,0.0,100.0,1.0,0.0,0,-0.4472271914132379,-0.01,0.0,0,-0.0,0,0.0,0.0,sell
2,-0.32043365,2246000.0,84200000.0,0.0,0,False,-0.05,-100.0,0.0,0.0,100.0,1.0,0.0,0,-0.35778175313059035,-0.01,0.0,0,-0.0,0,0.0,0.0,sell
3,0.89550686,2244000.0,84189488.0,33.0,33.0,True,0.5051690003440279,-100.0,-0.01248456057007126,-0.01248456057007126,101.56789170638501,1.0,1.555211401425178,0.023896667813426142,-0.5914791173583638,-0.01,1.5678917063850062,0.024283146745705753,13.200000000000001,0.8249003432498867,-422.03030464838776,0.0,buy
4,0.43247387,2284000.0,85509164.0,34.0,1.0,True,0.5142845398043981,-9.689437712223645,1.5548266033254157,1.5675068602388935,10.484674115189765,1.0,2.3624275534441805,0.05428179934799371,-0.6787173481658373,-0.01,0.7952364029661195,0.00630405490501873,6.800000000000001,0.37022961859899695,-1.10012193678345,0.0,buy
5,0.7405872,2304000.0,86188510.0,36.0,2.0,True,0.5036451610766451,-9.30328824171407,2.361650831353919,0.794471572660914,8.342603342996131,1.0,1.3782779097387172,0.018817203588817222,-0.6342444516208536,-0.01,-0.9606848987179382,-0.01,-8.280000000000001,-0.01,0.2073486726909429,0.0,buy
6,0.115555376,2281000.0,85360510.0,36.0,0.0,True,0.495,-6.771795915720088,1.3782779097387172,-0.9606848987179382,4.7052665568865955,1.0,-0.7167339667458432,-0.01,-0.537843090180548,-0.01,-2.066529358833493,-0.01,-17.64,-0.01,-1.186417383450816,-1.8281412806796997,buy
7,-0.47749448,2232000.0,83534206.0,19.0,17.0,True,0.495,-5.740956796064128,-0.790729216152019,-2.1395186134665787,5.809192316253307,1.0,-0.7230332541567696,-0.01,-0.6783105350154458,-0.01,0.06823552018917854,4.6559778214771974e-05,0.5700000000000001,0.0032437277109347296,-2.9205825214790515,-3.4638260654288295,sell
8,0.1310778,2235000.0,83590572.0,21.0,2.0,True,0.495,-49.18728263245838,-0.7237862232779098,0.0674765496663726,49.162160182046144,1.0,-0.7487268408551069,-0.01,-0.6592814025724593,-0.01,-0.0251224504122307,-0.01,-0.21000000000000002,-0.01,-3.0320176557397125,-3.394930658354978,buy
9,-0.4919213,2234000.0,83532890.0,11.0,10.0,True,0.49800575851117534,-42.26860895269385,-0.7922921615201901,-0.0690053897465853,43.11139075995564,1.0,0.043812351543942994,1.9195037251007463e-05,-2.7289962352181325,-0.01,0.8427818072617863,0.007077646395993287,7.040000000000001,0.3908044727536599,-3.2506670042657637,-3.483849283647242,sell
10,0.3355678,2298000.0,84234280.0,19.0,8.0,True,0.4980009879684253,-69.75203419874495,0.0407125890736342,0.8396572894820231,69.72947806126743,1.0,0.01814726840855107,3.2932280842334904e-06,-2.7099385992122005,-0.01,-0.02255613747752103,-0.01,-0.19,-0.01,-2.3578323330844726,-2.514398113489331,buy
11,0.68026763,2297000.0,84211693.0,30.0,11.0,True,0.495,-48.910348613414875,0.013887173396674585,-0.026814498800250917,47.770364407183564,1.0,-1.1262553444180523,-0.01,-2.4232141995164422,-0.01,-1.1399842062313128,-0.01,-9.600000000000001,-0.01,-2.4566521613333436,-2.6051439896252293,buy
12,-0.173702,2265000.0,83233098.0,25.0,5.0,True,0.495,-19.55986444780299,-1.1483396674584323,-1.1620654628093037,19.34961155057213,1.0,-1.3561781472684085,-0.01,-2.340077968377532,-0.01,-0.2102528972308588,-0.01,-1.7500000000000002,-0.01,-3.6705332582170325,-4.228486433314729,sell
13,0.5051322,2258000.0,83056495.0,30.0,5.0,True,0.4983003707892407,-30.766724554695777,-1.358081947743468,-0.2121788137694935,32.46436421550737,1.0,0.3165023752969121,0.001001235964135705,-2.7693652454544297,-0.01,1.6976396608115958,0.02840847457448259,14.100000000000001,0.8630446063545468,-4.062648937274729,-4.729916045538909,buy
14,0.04199482,2305000.0,84466495.0,30.0,0.0,True,0.495,-18.04373637486147,0.3165023752969121,1.6976396608115958,16.76512288438812,1.0,-0.9661579572446556,-0.01,-2.442007688908341,-0.01,-1.2786134904733526,-0.01,-10.8,-0.01,-1.9517587230122726,-2.4867952750854565,buy
15,-0.23137607,2269000.0,83364141.0,24.0,6.0,True,0.495,-19.3763160173747,-0.9927066508313539,-1.305078421923391,19.405105374179804,1.0,-0.9642030878859857,-0.01,-2.484775538690995,-0.01,0.028789356805104006,8.28823630494302e-06,0.24000000000000002,0.0005758341438458769,-3.2948034673936175,-4.399468958320366,sell
16,0.297221,2270000.0,83387174.0,27.0,3.0,True,0.495,-34.70573876602411,-0.9653515439429928,0.027629385637165025,34.64098060549453,1.0,-1.0294845605700713,-0.01,-2.4606115730924327,-0.01,-0.06475816052957976,-0.01,-0.54,-0.01,-3.319021249275249,-4.3004477780677375,buy
17,0.41348287,2268000.0,83332208.0,30.0,3.0,True,0.495,-26.046180675219908,-1.0306318289786223,-0.06591661206794225,26.622188453628947,1.0,-0.4605605700712589,-0.01,-2.6072510888548006,-0.01,0.5760077784090396,0.003312351627038912,4.800000000000001,0.2057841473834534,-3.478567002239283,-4.442982228309762,buy
18,0.28285384,2284000.0,83811884.0,31.0,1.0,True,0.495,-17.954892062862417,-0.4609453681710214,0.5756189731586135,17.769954089149763,1.0,-0.6450308788598574,-0.01,-2.5681078019367805,-0.01,-0.1849379737126539,-0.01,-1.55,-0.01,-2.850449979869226,-3.5869240709796912,buy
19,-0.4597254,2279000.0,83604496.0,17.0,14.0,True,0.49823858158655376,-13.892879439388334,-0.707249406175772,-0.24744462253109595,14.889237338609448,1.0,0.282061757719715,0.0007952719551793663,-3.8324284032820737,-0.01,0.9963578992211137,0.009878177737432825,8.33,0.500370772180019,-3.2321459039291702,-4.117776228172905,sell
20,-0.18711199,2328000.0,84426029.0,14.0,3.0,True,0.5054148315985644,-51.05645993009754,0.2684429928741093,0.9826421296768537,52.36648245881318,1.0,1.581982185273159,0.024716105328548066,-6.06560278789321,-0.01,1.3100225287156404,0.01701516897123323,11.06,0.7057236537819065,-2.122597825881685,-2.720312749273018,sell
21,0.313787,2407000.0,85529979.0,20.0,6.0,True,0.499893412921145,-60.63299388391227,1.5795475059382422,1.3075943676090698,59.86133462745437,1.0,0.7956995249406176,0.0063113764038167375,-5.3760357165620665,-0.01,-0.7716592564579022,-0.01,-6.6000000000000005,-0.01,-0.6178370467960869,-0.8097383062201877,buy
22,0.29906622,2374000.0,84868631.0,24.0,4.0,True,0.5044839881164378,-43.926094030725764,0.7940985748218529,-0.773235312030183,44.60479002618727,1.0,1.478184085510689,0.02161329372145948,-5.766896415383766,-0.01,0.6786959954615033,0.0045956898936097,5.760000000000001,0.2823519419835713,-1.4816810095973707,-2.0247223694391367,buy
23,-0.4929194,2398000.0,85401319.0,13.0,11.0,True,0.5020391662638671,-32.66770145025669,1.4267446555819476,0.6276618271361064,32.40892324567182,1.0,1.1642743467933492,0.01346388754622374,-5.3205199286986,-0.01,-0.25877820458487294,-0.01,-2.21,-0.01,-0.7907416875983934,-1.067057756061206,sell
24,-0.29237944,2381000.0,85168591.0,10.0,3.0,True,0.5050515896619724,-63.25349494894804,1.1503456057007124,-0.27251101355940416,63.64096173233066,1.0,1.542269596199525,0.023505298873241154,-6.41837441095611,-0.01,0.38746678338262047,0.0015001786875316059,3.3000000000000003,0.10317990497621321,-1.1120459058251857,-1.5213126956371585,sell
25,-0.30589673,2414000.0,85486700.0,7.0,3.0,True,0.5049991949795787,-71.64447630699914,1.528147268408551,0.37350506362140007,71.65266471525446,1.0,1.53646080760095,0.023330649931928793,-6.468905918696009,-0.01,0.00818840825531925,6.705000727968979e-07,0.07,4.899879951958397e-05,-0.6886852907578398,-0.9262496858752535,sell
