timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
1,-0.017304748,-0.05,20200225,datas,172500.0,173000.0,0.0,0.0,0.0,0.0,0,0.0,0,-2.366863905325444,-0.01,0.0,0,0.0,0,0.0,0.0,wrong
2,0.13311684,-0.01,20200226,datas,173000.0,170500.0,0.0,-0.0018235294117647056,-0.0018235294117647056,-0.14902232530906936,-0.01,-0.15084313725490195,-0.01,-1.0384171017519432,-0.01,-0.14902232530906936,-0.01,-0.47500000000000003,-0.01,-1624.9313831666864,0.0,buy
3,0.15825284,-0.01,20200227,datas,170500.0,170000.0,-0.1862779066363367,0.03350588235294118,0.03533005601866857,-0.27239194139575795,-0.01,-0.4253176470588235,-0.01,-1.0170336233901844,-0.01,-0.45866984803209465,-0.01,-0.195,-0.01,-90.47186712213414,0.0,buy
4,0.14896494,0.44552697997182084,20200228,datas,170000.0,175000.0,0.3057798986880631,-0.3503647058823529,-0.38374201208818504,0.6682208916102752,0.8927503301952303,0.6202235294117647,0.003839382914018863,-2.9300723285764008,-0.01,0.9740007902983383,0.009441917904370989,2.7500000000000004,0.0728361721882469,-10.690390012653642,-8.815308932343974,buy
5,-0.05903156,0.013475298153118388,20200302,datas,175000.0,172500.0,0.4328892401325947,-0.46149019607843134,-0.1115162036148849,0.0792782843490129,0.03093659117326797,0.04831372549019608,2.3341888281347423e-05,-2.0226921916695675,-0.01,0.5121675244816076,0.002619718264667781,-1.3,-0.01,-12.682033311663172,-11.419703388810042,sell
6,0.3703747,-0.006552927568398619,20200303,datas,172500.0,174500.0,0.9219015440668937,0.554807843137255,1.0210098998042731,-1.0895985986358272,-0.01,0.38618039215686273,0.0014902414386712692,-2.8682574776656224,-0.01,-0.16769705456893355,-0.01,1.7200000000000002,0.029150677127179336,-2.006093723692208,-5.08356813665065,buy
7,0.2759413,0.5327655681677922,20200304,datas,174500.0,182000.0,2.3477587639650697,-0.2898627450980392,-0.8400101460617945,1.4632880409205424,0.9999775912590336,3.5101372549019607,0.11592257512758453,-4.182170437405732,-0.01,3.811046804885612,0.13518595971373504,7.65,0.44301947290604937,-3.2609891456913918,-4.912935345662296,buy
8,0.44959688,0.003989490307759175,20200305,datas,182000.0,177500.0,2.005814107834533,0.5082941176470588,0.8004771477795343,-0.5894838196113192,-0.01,1.9318235294117647,0.03663163435919725,-3.0977622694048037,-0.01,1.4163302882232136,0.019860053393725208,-5.445,-0.01,-1.5661769676984496,-2.562448161825838,buy
9,-0.06728384,-0.006212614085106565,20200306,datas,177500.0,174000.0,-0.2360550480372023,4.057745098039216,3.531500570726482,-3.1708014390754404,-0.01,0.5126470588235293,0.0026246197163114493,-2.4459328228332753,-0.01,-3.4068564871126426,-0.01,-3.9550000000000005,-0.01,2.3235892811020817,8.310798357521216,sell
10,-0.06016192,0.5330614066287795,20200309,datas,174000.0,181000.0,-0.4258570608890803,2.056772549019608,-1.9229443681816938,1.8648869403368018,0.9999999719426863,3.5254,0.11687140219145464,-3.5751917159763313,-0.01,1.4390298794477214,0.02049513024877747,7.49,0.4293624303435347,0.5974635292495581,1.103931995301116,sell
