timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,sortino_data_exp,reward_log
1,1.653054,-0.5,20170630, 056080.csv,4140.0,4110.0,0.0,67400000,67400000.0,0.0,0.0,0.0,0.0,0,0.0,0,3.5211267605633805,0.11660543891790753,0.0,0,-0.0,0,0.0,0.0,0,wrong
2,1.4951148,-0.5,20170703, 056080.csv,4110.0,4085.0,0.0,67400000,67400000.0,0.0,0.0,0.0,0.0,0,0.0,0,4.107981220657277,0.15528424860050372,0.0,0,-0.0,0,0.0,0.0,0,wrong
3,0.9089326,0.8023830915696805,20170704, 056080.csv,4085.0,4165.0,14902.0,6144084.0,67018756.0,0.0,-0.01290207715133531,-0.01290207715133531,1.2161954901481058,0.9993860870108142,1.2031364985163207,0.014371109805145332,3.4331834468731284,0.11118617473479131,1.2161954901481058,0.014682460566730726,11.921600000000002,0.7585868422023266,-408.984945243093,0.0,0,buy
4,0.8129453,0.6837407773418454,20170705, 056080.csv,4165.0,4120.0,16123.0,1155591.0,68307887.0,0.22112645275420106,-0.5666958456973294,-0.5538652286651109,0.6208915189124457,0.8544930447761082,0.27055044510385756,0.0007317076047933524,3.5569354216296794,0.11884161975195284,0.8420179716666467,0.007064868296296045,-7.255350000000001,-0.01,-12.907552126695077,-10.513454891483176,0,buy
5,1.136611,-0.5,20170706, 056080.csv,4120.0,4070.0,16123.0,1155591.0,67582351.0,-0.36086697662198364,1.347013353115727,1.9246159172618085,-1.8814597403499522,-0.9999999794304452,-0.9255178041543027,-0.01,3.534576092559312,0.1174433340614992,-2.242326716971936,-0.01,-8.0615,-0.01,-1.1887574863279748,-3.453050893654036,0,wrong
6,1.9825094,-0.5,20170707, 056080.csv,4070.0,4070.0,16123.0,1155591.0,66776199.0,-2.242326716971936,0.27055044510385756,-1.0621555311760704,1.049485704382717,0.9959421468195981,-0.9255178041543027,-0.01,3.534576092559312,0.1174433340614992,-1.1928410125892188,-0.01,0.0,0,-2.3982799531534162,-4.790684114321029,0,wrong
7,1.1320105,-0.5,20170710, 056080.csv,4070.0,4060.0,16123.0,1155591.0,66776199.0,-1.4314092151070625,-0.9255207715133532,-1.1928439719417279,1.1899639061280354,0.999158286185646,-1.1647314540059346,-0.01,3.5301042267452383,0.11716447004321784,-0.2414453089790271,-0.01,-1.6123,-0.01,-3.576793427607651,-6.903009226268695,0,wrong
8,1.1324376,-0.5,20170711, 056080.csv,4060.0,3965.0,16123.0,1155591.0,66614971.0,-2.535204197531519,-0.9255207715133532,0.0,0.0,0,-3.4372611275964395,-0.01,3.4876215015115415,0.11452852647095246,-2.535204197531519,-0.01,-15.31685,-0.01,-3.7798722642193887,-6.8836822137986,0,wrong
9,1.2201403,-0.5,20170712, 056080.csv,3965.0,3910.0,16123.0,1155591.0,65083287.0,-3.863169869851382,-1.1647314540059346,-0.2414453089790271,0.23267966067602996,0.23715401489845844,-4.7529362017804155,-0.01,3.4630262395341385,0.11301349177450792,-3.630490209175352,-0.01,-8.867650000000001,-0.01,-4.265765120039867,-7.536886029852717,0,wrong
10,1.7439353,-0.5,20170713, 056080.csv,3910.0,3855.0,16123.0,1155591.0,64196519.0,-4.961669952539648,-3.4372596439169136,-2.2993089646470013,2.236652391579643,0.9999999999862924,-6.0686112759643915,-0.01,3.4384309775567345,0.11150661440188947,-2.725017560960005,-0.01,-8.867650000000001,-0.01,-5.71889590125475,-7.527715082144367,-0.01,wrong
