timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.23241517,-1.0,20180319, 124500.csv,4880.0,4875.0,0.0,39900000,39900000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
2,-0.41408056,-1.0,20180320, 124500.csv,4875.0,4895.0,0.0,39900000,39900000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
3,-0.57641786,-1.0,20180321, 124500.csv,4895.0,4760.0,0.0,39900000,39900000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
4,-0.3037049,-1.0,20180322, 124500.csv,4760.0,4500.0,0.0,39900000,39900000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,wrong
5,0.0064796805,-0.001860223123326976,20180323, 124500.csv,4500.0,4500.0,54.0,39642924.0,39885924.0,54.0,0.0,-9.022556390977444e-05,-9.022556390977444e-05,-0.03518800167338497,-0.006171852695846192,-0.035278195488721804,-0.03518800167338497,-1.2381877961598065e-05,-80121.44612898596,0.0,buy
6,-0.31077534,0.0,20180326, 124500.csv,4500.0,4695.0,38.0,39714806.0,39885806.0,16.0,0.0,-0.03557393483709273,-0.03548374128858863,0,0,-0.03557393483709273,0.0,0,-216.216731270244,-151.64212313420538,sell
7,-0.38390392,-6.929901999905841e-05,20180327, 124500.csv,4695.0,4595.0,24.0,39777704.0,39890384.0,14.0,0.018578037510386527,-0.03582957393483709,-0.00025573007099317485,-0.006844510129247661,-0.0002342091632976384,-0.024100250626566417,0.011733527381138866,1.376755700333021e-06,-232.3411740053917,-163.57466154115414,sell
8,-0.3739093,5.9203061906987205e-06,20180328, 124500.csv,4595.0,4500.0,16.0,39815203.0,39888723.0,8.0,-0.006016487582571279,-0.0242531328320802,0.011580590378948808,0.002005489727276901,2.0109743027463267e-05,-0.028263157894736844,-0.0040109978552943775,-1.6088102505751323e-07,-222.29814849586754,-162.2183762460556,sell
9,-0.45738792,4.136818868683001e-06,20180329, 124500.csv,4500.0,4565.0,9.0,39847316.0,39887816.0,7.0,-0.0038106008056462476,-0.028393483709273182,-0.004141355285591446,0.001667135058191287,1.3896599952656352e-05,-0.030536340852130327,-0.0021434657474549606,-4.594445301986383e-08,-231.39397860742392,-180.22086864799584,sell
10,-0.23543498,-1.5022115751328613e-07,20180330, 124500.csv,4565.0,4620.0,7.0,39856302.0,39888257.0,2.0,0.0014666132635589775,-0.030571428571428572,-0.002178563432208609,-0.0003259136582009284,-5.310984220185944e-07,-0.02943107769423559,0.001140699605358049,1.3011955846131684e-08,-243.03179701331763,-196.4119212253494,sell
11,-0.636647,-4.55097209428601e-07,20180402, 124500.csv,4620.0,4720.0,3.0,39874533.0,39888393.0,4.0,0.0009651963483889507,-0.02950375939849624,0.0010679956744670965,-0.0005515404697673182,-1.520983292313538e-06,-0.029090225563909774,0.00041365587862163245,1.7111118078005916e-09,-250.75201732459368,-195.01060506387756,sell
12,-0.34445632,-9.251547685718008e-08,20180403, 124500.csv,4720.0,4600.0,2.0,39879147.0,39888587.0,1.0,0.0007520984863942751,-0.029105263157894738,0.00039861384667175487,-0.0002506994200444626,-3.142509467091159e-07,-0.02860401002506266,0.0005013990663498125,2.514010222220975e-09,-262.0868210790957,-196.37766191856258,sell
13,-0.22537366,-5.455543713006606e-07,20180404, 124500.csv,4600.0,4495.0,2.0,39879147.0,39888347.0,0.0,-0.0006016758628226164,-0.02860401002506266,0.0005013990663498125,-0.0006016758628226164,-1.8100675813759182e-06,-0.029205513784461155,-0.0006016758628226164,-3.6201384112644064e-09,-270.31686819146876,-195.67939830550534,wait
