timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,0.19397528,0.7327772867001217,20170221, 083650.csv,6870.0,7010.0,1611.0,44417554.0,55485124.0,1611.0,0.0,-0.0027513611615245007,-0.0027513611615245007,0.7017252961079655,0.9147435883766933,-2.9209548743132605,0.6989546279491834,0.7017252961079655,0.004912079993834806,-1589.5778364116097,0.0,buy
2,-0.38899693,-0.09366330726671153,20170222, 083650.csv,7010.0,6980.0,985.0,48711114.0,55615964.0,626.0,0.40648733163144773,0.686141560798548,0.6889118764138774,-0.15792061884925693,-0.11723354990201162,-4.7951095854787535,0.9364137931034482,0.2485667127821908,0.0006176632744888666,-4.658351661500039,0.0,sell
3,0.024300233,-0.015331722261744085,20170223, 083650.csv,6980.0,6900.0,1153.0,47533267.0,55581207.0,168.0,-0.05313222656717773,0.9361107078039927,0.24826569290521744,-0.06219455957809973,-0.019154982606108484,-4.4057007525053855,0.8733339382940108,-0.06219455957809973,-3.8680884286490524e-05,-4.646027943701704,0.0,buy
4,0.4987058,-0.7069973231978238,20170224, 083650.csv,6900.0,6950.0,4548.0,23832803.0,55214003.0,3395.0,-0.1659553740889434,0.8672286751361162,-0.06824320075823062,-0.6546493716929604,-0.8826775320794517,-3.8654961936750127,0.20690199637023593,-0.6546493716929604,-0.004276487671312279,-4.7883824252411555,-40.88360727406462,buy
5,-0.2066625,-0.028150827262831534,20170227, 083650.csv,6950.0,7080.0,3609.0,30301265.0,55383815.0,939.0,0.41185204412728416,0.18759528130671507,-0.6737900929332576,-0.08496979700339963,-0.035455521421186575,-4.311455258914958,0.5150907441016335,0.32688224712388453,0.0010679493705886278,-4.895808171868095,-6.579074490426699,sell
6,0.595483,0.6790976042606006,20170228, 083650.csv,7080.0,7030.0,6204.0,12263454.0,56187774.0,2595.0,0.847124742129086,0.510442831215971,0.32224303717717206,0.6091803101183768,0.8436257726445497,-4.813148828538814,1.9741814882032669,1.4563050522474628,0.02098493072480412,-4.2680301740046405,-5.50039369470757,buy
7,0.4249326,-0.6818787293075087,20170302, 083650.csv,7030.0,6740.0,6939.0,7058916.0,55840084.0,735.0,-0.5520773967660652,1.972842105263158,1.4549724713709082,-0.6174911949439724,-0.8513969882142534,-4.6900137197417004,1.3431687840290383,-0.6174911949439724,-0.0038056936805299646,-0.32376341835770633,-0.6261854307884615,buy
8,-0.068006724,0.1850336543873217,20170303, 083650.csv,6740.0,6740.0,6468.0,10364610.0,53958930.0,471.0,-3.603701469944011,1.3333030852994556,-0.6271660245612529,0.24428218460775453,0.2579724659236916,-3.7300326295532873,-2.0709074410163337,-3.3594192853362563,-0.1067215917581581,-1.447277855402981,-2.884369519275383,sell
9,0.33477557,0.0,20170306, 083650.csv,6740.0,6690.0,6982.0,6899759.0,53958439.0,514.0,0.0,-2.0717985480943737,-3.3602986675836597,0,0,-3.7309237366313273,-2.0717985480943737,0.0,0,-3.5740872091947797,-3.4752542485316904,buy
10,-0.21825427,0.07515622593031326,20170307, 083650.csv,6690.0,6570.0,5459.0,17147925.0,53668637.0,1523.0,-0.6469794280001318,-2.1023865698729582,-0.031235151187379604,0.14096908366189986,0.09458457978589285,-3.502735996255266,-2.597758620689655,-0.5060103443382319,-0.0025571894920051186,-3.8004658550143136,-3.6984730840572895,sell
11,-0.08039285,0.03488138740245004,20170308, 083650.csv,6570.0,6920.0,5021.0,20073334.0,53061304.0,438.0,-1.2206011947201563,-2.6064936479128855,-0.5149329594226792,0.09783733343573275,0.046733450315898706,-2.7950153649062583,-3.699992740471869,-1.1227638612844235,-0.012526864251344638,-4.454394885408456,-4.480265965720322,sell
12,-0.21680176,-0.7258137379262758,20170309, 083650.csv,6920.0,6930.0,3933.0,27209757.0,54426117.0,1088.0,3.311923883363289,-3.7212940108892925,-1.1446352069369938,-0.7170864928903375,-0.9235459361786176,-5.597075464054112,-1.2230181488203267,2.5948373904729514,0.06511505508309146,-5.530680704073529,-5.821927243101697,sell
13,-0.2975651,-0.0018390715058319352,20170310, 083650.csv,6930.0,6760.0,2763.0,35292864.0,54440454.0,1170.0,0.07226310118724803,-1.2471433756805808,2.569779693018041,-0.02148463028854959,-0.0023052854319524085,-5.721885062946022,-1.1969981851179674,0.05077847089869844,2.5784198649958512e-05,-2.782209325703962,-3.445955868485632,sell
