timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.5014991,-1.0,000270.csv,20190923,46400.0,46050.0,39800000.0,39800000,0,0.0,False,-0.7543103448275862,0.0,0.0,0.0,0.0,0,0.7543103448275862,0.0,0.0,0,0.0,0.0,wrong
2,-0.49090272,-1.0,000270.csv,20190924,46050.0,45850.0,39800000.0,39800000,0,0.0,False,-1.1853448275862069,0.0,0.0,0.0,0.0,0,1.1853448275862069,0.0,0.0,0,0.0,0.0,wrong
3,-1.3183371,-1.0,000270.csv,20190925,45850.0,44900.0,39800000.0,39800000,0,0.0,False,-3.2327586206896552,0.0,0.0,0.0,0.0,0,3.2327586206896552,0.0,0.0,0,0.0,0.0,wrong
4,0.32357025,0.6,000270.csv,20190926,44900.0,45350.0,39798177.0,26956777.0,286.0,286.0,True,-2.2629310344827585,0.0,-0.004580402010050251,-0.004580402010050251,0.3233816463502838,0.6485742726190418,2.5817174666435623,0.318786432160804,0.3233816463502838,0.40718828673772123,-784.6365880416895,0.0,buy
5,0.30296522,0.16,000270.csv,20190927,45350.0,45600.0,39925725.0,18837975.0,179.0,465.0,True,-1.7241379310344827,0.17907736685741787,0.315891959798995,0.32048704140393164,0.11208829137421095,0.11806581913708647,2.332115317969156,0.6079773869346734,0.2911656582316288,0.3455022966594473,-9.367172059286721,0.0,buy
6,-0.76675737,0.71,000270.csv,20190930,45600.0,45050.0,40015320.0,35044920.0,356.0,109.0,True,-2.9094827586206895,-0.6387047591933215,0.5410050251256281,0.2244041905312928,0.4888871393417247,0.9083800604337972,3.2998596430428,0.39037688442211055,-0.14981761985159683,-0.10615830648169855,-7.253611219340657,0.0,sell
7,0.77045274,-1.0,000270.csv,20191001,45050.0,44300.0,39951545.0,8101195.0,598.0,707.0,True,-4.525862068965517,-0.20460328611648448,0.38076633165829143,-0.15937645881627338,-1.3272327766047596,-0.9999999776282857,3.5743419684630044,-0.9515201005025126,-1.3272327766047596,-0.9998504282304533,-7.891355717796066,-14.434911216637573,buy
8,-0.061214447,-0.0,000270.csv,20191002,44300.0,42750.0,39418168.0,10002968.0,43.0,664.0,True,-7.866379310344827,-2.779842722061769,-0.9593768844221106,-1.3350597580143648,0.16886394699540874,0.2480987844402781,4.321072777681511,-3.545306532663316,-2.6109787750663602,-0.9999999999999984,-5.403708243976481,-4.134764950102,sell
9,0.57391536,0.05,000270.csv,20191004,42750.0,42850.0,38388163.0,4316411.0,133.0,797.0,True,-7.650862068965517,0.17296635846006594,-3.5473291457286433,-2.6130209805793103,0.03464451367257554,0.011930681505728069,4.303779154392652,-3.3470829145728644,0.20761087213264148,0.19387089639958943,-5.675342514403758,-4.686839930371744,buy
10,-0.7778442,-0.68,000270.csv,20191007,42850.0,43750.0,38424309.0,30797009.0,619.0,178.0,True,-5.711206896551724,1.8646734737863384,-3.4565100502512562,0.09415923340744385,-1.4477499059480723,-0.9999999992106394,2.657209409114538,-3.053997487437186,0.4169235678382661,0.5806822558085543,-5.787490361079184,-4.612713660923805,sell
11,0.41288865,-1.0,000270.csv,20191008,43750.0,42300.0,38582708.0,18107708.0,290.0,468.0,True,-8.836206896551724,-0.6689213020696985,-3.0585226130653265,0.4122364308490232,-1.758819002543834,-0.9999999999999633,4.072659157858257,-4.763547738693467,-1.758819002543834,-0.9999998082783811,-5.43298070604176,-4.274571791527188,buy
12,0.92659545,-1.0,000270.csv,20191010,42300.0,41950.0,37901730.0,1354530.0,396.0,864.0,True,-9.590517241379311,-0.4321431334039044,-4.769522613065327,-1.7649823853732611,-0.7978527629213759,-0.9982804459809228,4.061195633339111,-5.529321608040201,-0.7978527629213759,-0.9585324944193985,-7.0003592653683056,-6.328691567374057,buy
