timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
1,-0.33454007,-100.0,003550.csv,20201112,75500.0,74500.0,5900000.0,5900000,0,0.0,False,-1.3245033112582782,0.0,0.0,0.0,0,0,0,1.3245033112582782,0.0,0.0,0,0.0,0.0,wrong
2,0.3474606,-1.0,003550.csv,20201113,74500.0,74500.0,5899715.0,3888215.0,27.0,27.0,True,-1.3245033112582782,0.0,-0.004830508474576271,-0.004830508474576271,0.0,-1,-0.9999546000702375,1.319672802783702,-0.004830508474576271,0.0,0,-716.6192282008255,0.0,buy
3,0.2562656,-0.69,003550.csv,20201116,74500.0,74000.0,5899578.0,2919578.0,13.0,40.0,True,-1.9867549668874174,-0.22882461271434298,-0.007152542372881356,-0.0023221460697677773,0.0,-0.33900729848812916,-0.6831286692789251,1.6406193736670784,-0.346135593220339,-0.33900729848812916,-0.4370867467175116,-816.7098511155779,-1299.7743382279232,buy
4,-1.0997338,-1.24,003550.csv,20201117,74000.0,75200.0,5874718.0,5874718.0,40.0,0.0,True,-0.3973509933774834,0.8163851215172246,-0.42850847457627117,-0.4213860720207446,0,-0.8163851215172246,-0.9987250478957187,-0.03115748119878775,-0.42850847457627117,0.0,0,-12.204497193563512,-10.4006285675356,sell
5,-0.4491628,-100.0,003550.csv,20201118,75200.0,75400.0,5874718.0,5874718.0,0,0.0,False,-0.13245033112582782,0.0,-0.42850847457627117,0.0,0,0,0,-0.29605814345044335,-0.42850847457627117,0.0,0,-12.972999916998761,-10.309239482970371,wrong
6,-0.37845537,-100.0,003550.csv,20201119,75400.0,75900.0,5874718.0,5874718.0,0,0.0,False,0.5298013245033113,0.0,-0.42850847457627117,0.0,0,0,0,-0.9583097990795825,-0.42850847457627117,0.0,0,-13.849364550373103,-10.33970251115878,wrong
7,0.082346246,-1.43,003550.csv,20201120,75900.0,75900.0,5874654.0,5419254.0,6.0,6.0,True,0.5298013245033113,0.0,-0.42959322033898306,-0.0010894139939993715,0.0,-1,-0.9999546000702375,-0.9593945448422944,-0.42959322033898306,0.0,0,-14.6538549791809,-11.234461487282521,buy
8,-0.11426688,-0.3,003550.csv,20201123,75900.0,77200.0,5874654.0,5419254.0,0.0,6.0,True,2.251655629139073,0.13277377697478013,-0.42959322033898306,0.0,0,0,0,-2.549045459647547,-0.29738983050847456,0.13277377697478013,0.08437133061084501,-15.218612460813265,-11.091037657844101,wait
9,-0.7062665,-0.34,003550.csv,20201124,77200.0,78200.0,5881948.0,5727548.0,4.0,2.0,True,3.576158940397351,0.10199824767010501,-0.3059661016949153,0.12416050375051875,0,-0.06799590694896977,-0.04518190550986445,-3.8482267370075207,-0.2720677966101695,0.03400234072113524,0.005764119222365305,-14.048410586992896,-10.502850362539593,sell
10,0.6445302,-1.61,003550.csv,20201125,78200.0,77200.0,5883427.0,2051627.0,47.0,49.0,True,2.251655629139073,-0.033990783059265645,-0.2808983050847457,0.025144730963279512,0.33407572383074274,-0.8328479302964072,-0.9990281963207559,-3.36306240880009,-1.111406779661017,-0.8328479302964072,-0.9688262341183476,-14.667854171287779,-10.535574182815633,buy
11,-0.39095265,-1.53,003550.csv,20201126,77200.0,75200.0,5832019.0,3516019.0,19.0,30.0,True,-0.3973509933774834,-1.6796850830424308,-1.1522203389830508,-0.8737764571566877,0,0.6508818504055001,0.9855414859723671,-1.7718184981479401,-2.1691694915254236,-1.0288032326369307,-0.9949692211073297,-10.571765770798544,-8.094923558930892,sell
12,-0.05833985,-4.4,003550.csv,20201127,75200.0,70600.0,5771897.0,3591097.0,1.0,29.0,True,-6.490066225165562,-2.3908445207820694,-2.1712372881355932,-1.0308951325432925,0,0.07964596682311997,0.061464690484693496,2.057811987877426,-4.432254237288136,-2.3111985539589495,-0.9999999999974836,-10.69212528357319,-8.921055869300991,sell
13,-0.5650181,-100.0,003550.csv,20201130,70600.0,72600.0,5636643.0,4718843.0,16.0,13.0,True,-3.8410596026490067,1.0286429167205373,-4.463677966101695,-2.3433197092740916,0,-0.5673754566383572,-0.9600109290301875,-0.18194039735099388,-4.023000000000001,0.4612674600821801,0.6548714589722454,-9.31664136443205,-7.749744980502985,sell
