timestep,action,reward,stock_code,current_date,price,next_price,total_amt,current_amt,order_qty,qty,is_order,init_price_rate,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,average_price_rate,average_line,average_slope,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,sharp_data,sortino_data,reward_log
1,-0.07750785,0.0,002380.csv,20190322,316000.0,311500.0,28200000.0,28200000,0,0.0,False,-1.4240506329113924,0.0,0.0,0.0,0,0.0,0.0,0,0,1.4240506329113924,0.0,0.0,0,-0.0,0.0,0.0,wrong
2,-0.04652059,0.0,002380.csv,20190325,311500.0,312500.0,28200000.0,28200000,0,0.0,False,-1.1075949367088607,0.0,0.0,0.0,0,0.0,0.0,0,0,1.1075949367088607,0.0,0.0,0,0.0,0.0,0.0,wrong
3,-0.58168054,0.0,002380.csv,20190326,312500.0,311500.0,28200000.0,28200000,0,0.0,False,-1.4240506329113924,0.0,0.0,0.0,0,0.0,0.0,0,0,1.4240506329113924,0.0,0.0,0,-0.0,0.0,0.0,wrong
4,-1.6349168,0.0,002380.csv,20190327,311500.0,307500.0,28200000.0,28200000,0,0.0,False,-2.689873417721519,0.0,0.0,0.0,0,0.0,0.0,0,0,2.689873417721519,0.0,0.0,0,-0.0,0.0,0.0,wrong
5,-0.39700997,0.0,002380.csv,20190328,307500.0,318500.0,28200000.0,28200000,0,0.0,False,0.7911392405063291,0.0,0.0,0.0,0,0.0,0.0,0,0,-0.7911392405063291,0.0,0.0,0,0.0,0.0,0.0,wrong
6,-1.6618427,0.0,002380.csv,20190329,318500.0,312500.0,28200000.0,28200000,0,0.0,False,-1.1075949367088607,0.0,0.0,0.0,0,0.0,0.0,0,0,1.1075949367088607,0.0,0.0,0,-0.0,0.0,0.0,wrong
7,-0.5577449,0.0,002380.csv,20190401,312500.0,313500.0,28200000.0,28200000,0,0.0,False,-0.7911392405063291,0.0,0.0,0.0,0,0.0,0.0,0,0,0.7911392405063291,0.0,0.0,0,0.0,0.0,0.0,wrong
8,-0.30541635,0.0,002380.csv,20190402,313500.0,316000.0,28200000.0,28200000,0,0.0,False,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,wrong
9,-0.92068565,0.0,002380.csv,20190403,316000.0,315000.0,28200000.0,28200000,0,0.0,False,-0.31645569620253167,0.0,0.0,0.0,0,0.0,0.0,0,0,0.31645569620253167,0.0,0.0,0,-0.0,0.0,0.0,wrong
10,0.33429664,-0.05,002380.csv,20190404,315000.0,314500.0,28198703.0,19063703.0,29.0,29.0,True,-0.4746835443037975,0.0,-0.004599290780141844,-0.004599290780141844,0.0,0.0,0.0,-0.0514208047086421,-0.026094489223712714,0.4186658138073436,-0.0560177304964539,-0.0514208047086421,-0.013133488876896138,-1.4500000000000002,-1423.0788301415298,0.0,buy
11,-0.09074277,-0.21,002380.csv,20190405,314500.0,314000.0,28183171.0,19691671.0,2.0,27.0,True,-0.6329113924050633,-0.05144725930337643,-0.05967730496453901,-0.05508054749893993,-0.15873015873015872,0.0,0.0,0.00354633289591149,0.00012575686202909164,0.5253617470149924,-0.10754964539007092,-0.04790092640746494,-0.011406935641515958,-1.35,-128.79742500290604,-77.36246804796386,sell
12,-0.24476638,-0.43,002380.csv,20190408,314000.0,312500.0,28166578.0,21572578.0,6.0,21.0,True,-1.1075949367088607,-0.1437716471733021,-0.11851773049645391,-0.05887556087993079,-0.31746031746031744,0.0,0.0,0.03193697559906969,0.010147863524814782,0.8773750785528323,-0.23021985815602836,-0.11183467157423241,-0.06061978678840496,-3.1500000000000004,-97.1086559209294,-80.29531528488988,sell
13,-0.9018611,-0.56,002380.csv,20190409,312500.0,334000.0,28125843.0,27188343.0,18.0,3.0,True,5.69620253164557,1.604758302074016,-0.262968085106383,-0.14462175703417007,-0.7936507936507936,0.0,0.0,-1.3754318424190999,-0.9999999939191876,-5.7304472124966335,-0.03424468085106383,0.22932645965491597,0.23122206744397955,6.45,-53.267887359663945,-42.442826123034344,sell
14,0.063376606,5.14,002380.csv,20190410,334000.0,335500.0,28190106.0,25518106.0,5.0,8.0,True,6.170886075949367,0.015962913257210103,-0.03508510638297872,0.22848381824502112,5.0994909763998235,28190314.35714286,-0.0025068772213750704,0.04256812656185117,0.017957265731848193,-6.1634179908429845,0.007468085106382978,0.04256812656185117,0.009019306813623174,1.2,-26.17198486767053,-37.89266889293432,buy
15,-0.4497984,5.75,002380.csv,20190411,335500.0,345500.0,28200455.0,26522955.0,3.0,5.0,True,9.335443037974683,0.28366675878744657,0.0016134751773049646,0.036711461815716474,5.5714946783896435,28190346.85714286,0.00011528782399606392,-0.10636465497387335,-0.106969369727822,-9.15652459825837,0.17891843971631205,0.17730210381357323,0.1454499279579904,5.0,-26.218958860045618,-37.083587561617286,sell
16,0.25902265,5.78,002380.csv,20190412,345500.0,349500.0,28249523.0,19957523.0,19.0,24.0,True,10.601265822784809,0.07079531993378513,0.17561347517730497,0.17399719259848823,5.423299461700101,28193884.214285713,0.012548115001139788,0.3398287468429113,0.684890717518074,-10.08522681569261,0.5160390070921986,0.3398287468429113,0.4386540438535911,9.6,-21.25471658151386,-33.90281299779184,buy
17,-0.93158424,6.68,002380.csv,20190415,349500.0,349500.0,28332899.0,27633899.0,22.0,2.0,True,10.601265822784809,0.0,0.4712730496453901,0.29514126663306844,6.643829701488235,28203377.0,0.033669662690454544,-1,-0.9999546000702375,-10.129992773139419,0.4712730496453901,0.0,0,0.0,-14.309170943855596,-28.919740506245628,sell
18,0.5793207,3.35,002380.csv,20190416,349500.0,348500.0,28330666.0,11904166.0,45.0,47.0,True,10.284810126582279,-0.007058931738683006,0.463354609929078,-0.007881297286239576,3.486720850832409,28212710.285714287,0.03309279493121448,-0.16589797077131896,-0.2405960024136965,-9.988122183319868,0.2966879432624114,-0.16589797077131896,-0.12856210916307786,-4.7,-14.798296154157123,-29.021685594420536,buy
19,-1.0337706,0.01,002380.csv,20190417,348500.0,348500.0,28256772.0,28256772.0,47.0,0.0,True,10.284810126582279,0.0,0.20131914893617023,-0.26082690749310306,0,28216765.42857143,0.014373460812785307,-1,-0.9999546000702375,-10.08349097764611,0.20131914893617023,0.0,0,0.0,-15.182235724781648,-19.440654545275297,sell
20,-0.38319805,0.01,002380.csv,20190418,348500.0,349500.0,28256772.0,28256772.0,0,0.0,False,10.601265822784809,0.0,0.20131914893617023,0.0,0,28220820.57142857,0.014371395145935755,0,0,-10.399946673848639,0.20131914893617023,0.0,0,0.0,-15.073143734954431,-18.839287265107725,wrong
21,-0.110055774,0.01,002380.csv,20190419,349500.0,352000.0,28256772.0,28256772.0,0,0.0,False,11.39240506329114,0.0,0.20131914893617023,0.0,0,28224875.714285713,0.01436933007273118,0,0,-11.19108591435497,0.20131914893617023,0.0,0,0.0,-15.479977870329304,-18.90610585179301,wrong
22,-0.983822,0.01,002380.csv,20190422,352000.0,349000.0,28256772.0,28256772.0,0,0.0,False,10.443037974683545,0.0,0.20131914893617023,0.0,0,28228930.85714286,0.014367265592928906,0,0,-10.241718825747375,0.20131914893617023,0.0,0,-0.0,-16.105118363564003,-19.24019878521944,wrong
23,-0.8925544,0.01,002380.csv,20190423,349000.0,350500.0,28256772.0,28256772.0,0,0.0,False,10.917721518987342,0.0,0.20131914893617023,0.0,0,28232986.0,0.014365201706233614,0,0,-10.716402370051172,0.20131914893617023,0.0,0,0.0,-16.392071806913467,-19.173380198534154,wrong
24,0.19424438,0.12,002380.csv,20190424,350500.0,352500.0,28256026.0,22998526.0,15.0,15.0,True,11.550632911392405,0.0,0.19867375886524824,-0.0026400750942110443,0.0,28237080.5,0.014502539688858982,0.10617204273523816,0.10660371342869213,-11.245576173803753,0.3050567375886525,0.10617204273523816,0.05480357249336376,3.0,-16.645202688121,-19.378353995590256,buy
25,-0.95701563,0.61,002380.csv,20190425,352500.0,355500.0,28277924.0,27925424.0,14.0,1.0,True,12.5,0.1590891558962719,0.27632624113475174,0.0774985130605415,0.5706134094151213,28243848.57142857,0.023968736529156747,-0.1484801734264131,-0.19785317877162945,-12.213035460992907,0.2869645390070922,0.01060898246985882,0.000562594229714164,0.3,-15.74111791136235,-18.12683346177234,sell
26,-0.13921401,1.48,002380.csv,20190426,355500.0,361500.0,28280924.0,27925424.0,0.0,1.0,True,14.39873417721519,0.021215714168320667,0.2869645390070922,0.01060898246985882,1.4265335235378032,28252016.14285714,0.028918054166432536,0,0,-14.090493042463416,0.30824113475177306,0.021215714168320667,0.002248002088498957,0.6,-15.904471440522848,-17.97257926445585,wait
27,-0.7554884,3.16,002380.csv,20190429,361500.0,355000.0,28286924.0,27925424.0,0.0,1.0,True,12.341772151898734,-0.02297881522925575,0.30824113475177306,0.021215714168320667,3.138373751783167,28263521.92857143,0.04072553851062512,0,0,-12.056580662537032,0.28519148936170213,-0.02297881522925575,-0.0026366476692145646,-0.65,-15.853989998410427,-17.596208648850563,wait
28,-0.3635741,1.32,002380.csv,20190430,355000.0,358500.0,28280424.0,27925424.0,0.0,1.0,True,13.449367088607595,0.01237605207050644,0.28519148936170213,-0.02297881522925575,1.2838801711840229,28269973.214285713,0.02282548413671694,0,0,-13.151764251728162,0.2976028368794326,0.01237605207050644,0.0007655401487651758,0.35000000000000003,-16.14319588498174,-18.444551294176893,wait
29,-0.87246394,2.28,002380.csv,20190502,358500.0,350500.0,28283924.0,27925424.0,0.0,1.0,True,10.917721518987342,-0.02828461849918703,0.2976028368794326,0.01237605207050644,2.282453637660485,28275935.285714287,0.021089766811529197,0,0,-10.64848747643415,0.2692340425531915,-0.02828461849918703,-0.003992108482138268,-0.8,-16.70938939143129,-18.770783849247522,wait
30,-0.74461997,-0.01,002380.csv,20190503,350500.0,344500.0,28275924.0,27925424.0,0.0,1.0,True,9.018987341772151,-0.021219465719316547,0.2692340425531915,-0.02828461849918703,0.0,28277821.07142857,0.006669224891161537,0,0,-8.77102989496364,0.24795744680851062,-0.021219465719316547,-0.0022487962875054057,-0.6,-17.4042414281005,-20.1863153783029,wait
31,-0.7663691,-1.72,002380.csv,20190507,344500.0,348000.0,28269924.0,27925424.0,0.0,1.0,True,10.126582278481013,0.01238064877712441,0.24795744680851062,-0.021219465719316547,-1.7118402282453637,28273322.85714286,-0.015907216734805666,0,0,-9.866213484154772,0.2603687943262411,0.01238064877712441,0.0007661087094669172,0.35000000000000003,-17.722540216073845,-21.05201657519248,wait
32,0.38804013,-7.04,002380.csv,20190508,348000.0,288000.0,28271893.0,17135893.0,31.0,32.0,True,-8.860759493670885,-0.212213419923954,0.25493971631205675,0.006964999269187989,-0.2337103860895506,28269124.785714287,-0.014848171365575138,-6.791197179474329,-1.0,2.30718857168507,-6.553570921985815,-6.791197179474329,-1.0,-192.0,-17.843585188771204,-20.872207584416028,buy
33,-0.4441199,-17.92,002380.csv,20190509,288000.0,288000.0,26345273.0,21161273.0,14.0,18.0,True,-8.860759493670885,0.0,-6.57704609929078,-6.814612661416057,-17.434794802281004,28132589.14285714,-0.48298503718142477,-1,-0.9999546000702375,2.283713394380105,-6.57704609929078,0.0,0,0.0,-7.2982732942438195,-4.342729518441302,sell
34,0.28104457,-15.33,002380.csv,20190510,288000.0,274000.0,26344456.0,15400456.0,20.0,38.0,True,-13.291139240506327,-0.9565283305282128,-6.579943262411348,-0.0031011255795299598,-12.829332049253631,27995995.14285714,-0.4855365402252042,-2.019400210807162,-1.0,4.824671155399944,-8.466468085106383,-2.019400210807162,-0.9999999986043228,-53.2,-7.415041935948298,-4.521389924885983,buy
35,-0.2870801,-18.07,002380.csv,20190513,274000.0,270500.0,25807957.0,18135957.0,10.0,28.0,True,-14.39873417721519,-0.5152551155922552,-8.482421985815602,-2.036477807702691,-17.066795074637138,27821079.785714287,-0.6247870677584474,0.1355272665416698,0.16779493798602485,5.568794460903131,-8.829939716312058,-0.37972784905058543,-0.5137178153473638,-9.8,-8.894409394332799,-5.642288441117685,sell
36,-0.054833353,-18.78,002380.csv,20190514,270500.0,270500.0,25709514.0,18406014.0,1.0,27.0,True,-14.39873417721519,0.0,-8.831510638297873,-0.3814443739192529,-18.12616083098301,27639132.785714287,-0.6539897135603884,-1,-0.9999546000702375,5.567223538917316,-8.831510638297873,0.0,0,0.0,-9.313928292177868,-6.0415763677143595,sell
