episode,timestep,reward
68,2000,-10.5302
137,4000,-8.2192
206,6000,-2.516
275,8000,-0.1422
344,10000,-2.2707
413,12000,-2.2092
482,14000,-1.14
551,16000,-3.1735
620,18000,-1.3056
689,20000,-0.5085
758,22000,-1.66
827,24000,-1.4179
896,26000,-1.399
965,28000,-2.1071
1034,30000,-2.1057
1103,32000,-2.8101
1172,34000,-2.1058
1241,36000,0.0803
1310,38000,-2.3709
1379,40000,-2.1996
1448,42000,-1.028
1517,44000,-0.2485
1586,46000,-2.8499
1655,48000,-1.5124
1724,50000,-0.6341
1793,52000,-1.1216
1862,54000,-0.8808
1931,56000,-0.9996
2000,58000,-0.4483
2069,60000,-1.1636
2138,62000,-1.4904
2207,64000,-0.553
2276,66000,-1.9837
2345,68000,-2.0419
2414,70000,-1.6691
2483,72000,-2.731
2552,74000,-0.4831
2621,76000,-1.6595
2690,78000,-3.3664
2759,80000,-1.3999
2828,82000,-1.0494
2897,84000,-2.8225
2966,86000,-1.4428
3035,88000,-0.2552
3104,90000,-1.6259
3173,92000,-0.8415
3241,94000,-1.1284
3310,96000,-1.3652
3379,98000,-1.7392
3448,100000,-2.1828
3517,102000,-2.9337
3586,104000,-2.3188
3655,106000,-2.9406
3724,108000,-0.9547
3793,110000,0.0488
3862,112000,-1.5933
3931,114000,-0.7401
4000,116000,-1.9349
4069,118000,-2.3542
4138,120000,-0.2918
4207,122000,-2.2568
4276,124000,-1.3133
4345,126000,-2.0206
4414,128000,-1.8245
4483,130000,-2.2865
4552,132000,-1.5808
4621,134000,-2.2467
4690,136000,-1.648
4759,138000,0.7799
4828,140000,-2.5342
4897,142000,-0.4227
4966,144000,-1.0667
5035,146000,-1.0917
5104,148000,0.3063
5173,150000,0.2718
5241,152000,-0.1808
5310,154000,-1.3323
5379,156000,0.0557
5448,158000,-1.1778
5517,160000,-2.3704
5586,162000,-0.9569
5655,164000,-0.5306
5724,166000,-3.2599
5793,168000,-1.1946
5862,170000,-0.3431
5931,172000,0.5629
6000,174000,-1.7465
6069,176000,-2.4763
6138,178000,-2.1248
6207,180000,-1.124
6276,182000,-0.7573
6345,184000,-1.1963
6414,186000,0.2121
6483,188000,-2.2832
6552,190000,-0.1927
6621,192000,-1.8349
6690,194000,-1.6575
6759,196000,-2.8346
6828,198000,-0.6817
6897,200000,-1.1971
6966,202000,-0.7944
7035,204000,-1.8049
7104,206000,-1.7138
7173,208000,-1.3258
7241,210000,0.939
7310,212000,-3.3039
7379,214000,-2.6127
7448,216000,-1.5419
7517,218000,0.5884
7586,220000,-0.7449
7655,222000,0.4148
7724,224000,-1.2619
7793,226000,-1.3125
7862,228000,-1.4122
7931,230000,-2.4066
8000,232000,-2.2445
8069,234000,-2.2788
8138,236000,-3.2965
8207,238000,-4.0395
8276,240000,-3.7671
8345,242000,-5.3744
8414,244000,-5.5519
8483,246000,-3.2709
8552,248000,-2.6985
8621,250000,-2.5831
8690,252000,-3.1777
8759,254000,-9.6232
8828,256000,-10.8633
8897,258000,-7.604
8966,260000,-5.5159
9035,262000,-4.0552
9104,264000,-5.9421
9173,266000,-8.6027
9241,268000,-8.5506
9310,270000,-3.3329
9379,272000,-6.8297
9448,274000,-7.1059
9517,276000,-5.1313
9586,278000,-4.6556
9655,280000,-5.2651
9724,282000,-2.6462
9793,284000,-3.3023
9862,286000,-3.5657
9931,288000,-0.5562
10000,290000,-3.2079
10069,292000,-5.5344
10138,294000,-4.6436
10208,296000,-4.5294
10277,298000,-2.0066
10346,300000,-3.6861
10415,302000,-2.8811
10484,304000,-3.0744
10552,306000,-2.9792
10621,308000,-6.0167
10690,310000,-5.254
10759,312000,-2.2009
10828,314000,-3.0225
10897,316000,-3.9245
10966,318000,-3.6429
11035,320000,-3.357
11104,322000,-5.0824
11173,324000,-5.9287
11242,326000,-3.8451
11311,328000,-4.1779
11380,330000,-4.0556
11449,332000,-4.6896
11518,334000,-4.5611
11587,336000,-2.3875
11656,338000,-3.5075
11725,340000,-4.0971
11794,342000,-9.8539
11863,344000,-12.651
11932,346000,-14.2869
12001,348000,-12.6799
12070,350000,-13.9838
12139,352000,-15.5984
12208,354000,-14.7683
12277,356000,-10.8027
12346,358000,-9.5364
12415,360000,-7.8889
12484,362000,-6.9708
12552,364000,-8.9219
12621,366000,-8.4885
12690,368000,-5.5067
12759,370000,-10.5302
12828,372000,-10.1806
12897,374000,-12.5632
12966,376000,-14.3247
13035,378000,-15.093
13104,380000,-13.4636
13173,382000,-15.0973
13242,384000,-14.3878
13311,386000,-15.4688
13380,388000,-13.522
13449,390000,-14.1713
13518,392000,-18.2626
13587,394000,-15.9162
13656,396000,-22.2963
13725,398000,-20.6534
13794,400000,-16.6797
13863,402000,-10.5546
13932,404000,-9.7062
14001,406000,-6.3179
14070,408000,-8.2071
14139,410000,-8.0247
14208,412000,-4.8624
14277,414000,-8.9299
14346,416000,-6.7631
14415,418000,-3.1914
14484,420000,-7.5756
14552,422000,-2.7162
14621,424000,0.1029
14690,426000,-6.3051
14759,428000,-4.4633
14828,430000,-3.347
14897,432000,-2.7681
14966,434000,-3.9922
15035,436000,-5.8164
15104,438000,-7.5043
15173,440000,-5.4132
15242,442000,-3.5546
15311,444000,-8.6185
15380,446000,-16.7998
15449,448000,-13.0377
15518,450000,-17.8593
15587,452000,-19.9395
15656,454000,-21.5546
15725,456000,-22.8112
15794,458000,-24.4587
15863,460000,-18.4861
15932,462000,-18.4789
16001,464000,-8.591
16070,466000,-7.9722
16139,468000,-6.4811
16208,470000,-6.6345
16277,472000,-3.754
16346,474000,-5.6841
16415,476000,-9.7206
16484,478000,-10.8109
16552,480000,-14.1389
16621,482000,-12.2406
16690,484000,-14.0616
16759,486000,-17.8568
16828,488000,-15.9544
16897,490000,-14.0492
16966,492000,-14.3875
17035,494000,-15.1069
17104,496000,-11.7814
17173,498000,-9.7917
17242,500000,-7.6693
17311,502000,-11.9183
