episode,timestep,reward,loss,dist_entropy
5,2000,-37.8904,0.8486623764038086,0.9081129431724548
11,4000,-36.2322,1.224177360534668,0.9081129431724548
16,6000,-39.8132,0.6926389336585999,0.9081129431724548
22,8000,-38.5728,1.1228867769241333,0.9081129431724548
27,10000,-38.0681,0.03780768811702728,0.9081129431724548
33,12000,-34.1831,0.38468992710113525,0.9081129431724548
38,14000,-33.7554,0.15770459175109863,0.9081129431724548
44,16000,-38.0786,0.15818580985069275,0.9081129431724548
50,18000,-37.6861,0.3348899483680725,0.9081129431724548
55,20000,-31.6822,0.4969007074832916,0.9081129431724548
61,22000,-37.2274,0.1812065690755844,0.9081129431724548
66,24000,-30.5134,0.5419009327888489,0.9081129431724548
72,26000,-34.4157,0.39502519369125366,0.9081129431724548
77,28000,-36.1039,1.1283942461013794,0.9081129431724548
83,30000,-36.3298,0.468858540058136,0.9081129431724548
89,32000,-35.5736,0.29346174001693726,0.9081129431724548
94,34000,-35.1816,0.5582553744316101,0.9081129431724548
100,36000,-37.4736,0.39087730646133423,0.9081129431724548
105,38000,-37.0539,0.604483962059021,0.9081129431724548
111,40000,-36.2532,0.3578125834465027,0.9081129431724548
116,42000,-36.2272,0.5591108798980713,0.9081129431724548
122,44000,-35.7264,0.45169374346733093,0.9081129431724548
128,46000,-37.7289,0.132704496383667,0.9081129431724548
133,48000,-36.6604,0.7162755727767944,0.9081129431724548
139,50000,-34.206,0.3464207947254181,0.9081129431724548
144,52000,-31.5647,0.12754879891872406,0.9081129431724548
150,54000,-33.0857,0.521098792552948,0.9081129431724548
155,56000,-36.2845,0.5435444712638855,0.9081129431724548
161,58000,-35.5774,0.10976108908653259,0.9081129431724548
167,60000,-35.5905,0.6610256433486938,0.9081129431724548
172,62000,-32.9664,0.3763158917427063,0.9081129431724548
178,64000,-38.3129,0.35443800687789917,0.9081129431724548
183,66000,-36.7507,0.15388205647468567,0.9081129431724548
189,68000,-38.5671,0.26026466488838196,0.9081129431724548
194,70000,-33.2667,0.563410758972168,0.9081129431724548
200,72000,-39.9809,0.1673370599746704,0.9081129431724548
206,74000,-36.5134,0.3064219355583191,0.9081129431724548
211,76000,-34.368,0.97725510597229,0.9081129431724548
217,78000,-35.9971,0.15722230076789856,0.9081129431724548
222,80000,-36.0923,0.4260181784629822,0.9081129431724548
228,82000,-35.5864,0.2887752652168274,0.9081129431724548
233,84000,-40.7997,0.0739641934633255,0.9081129431724548
239,86000,-41.0558,0.3168589174747467,0.9081129431724548
245,88000,-41.6294,1.2740199565887451,0.9081129431724548
250,90000,-35.509,0.09241107106208801,0.9081129431724548
256,92000,-28.9926,0.6358646750450134,0.9081129431724548
261,94000,-36.981,0.08562617003917694,0.9081129431724548
267,96000,-35.5479,0.5967739820480347,0.9081129431724548
272,98000,-33.0816,0.6077229976654053,0.9081129431724548
278,100000,-38.3032,0.04191944748163223,0.9081129431724548
284,102000,-39.3145,0.4498122036457062,0.9081129431724548
289,104000,-33.1549,0.22672349214553833,0.9081129431724548
295,106000,-32.1717,0.9795441627502441,0.9081129431724548
300,108000,-41.064,0.23764394223690033,0.9081129431724548
306,110000,-33.6111,0.22756697237491608,0.9081129431724548
311,112000,-36.3679,0.39631715416908264,0.9081129431724548
317,114000,-36.6349,0.9755011796951294,0.9081129431724548
323,116000,-35.9527,0.24337553977966309,0.9081129431724548
328,118000,-38.2321,0.2108970731496811,0.9081129431724548
334,120000,-37.9468,0.8703229427337646,0.9081129431724548
339,122000,-34.4382,0.8216753602027893,0.9081129431724548
345,124000,-33.387,0.4903189241886139,0.9081129431724548
350,126000,-40.2382,0.15376734733581543,0.9081129431724548
356,128000,-32.8669,0.6570760011672974,0.9081129431724548
362,130000,-36.5812,0.271487295627594,0.9081129431724548
367,132000,-38.3622,1.0403640270233154,0.9081129431724548
373,134000,-34.586,0.9639446139335632,0.9081129431724548
378,136000,-39.4492,0.23969165980815887,0.9081129431724548
384,138000,-32.8029,0.618613600730896,0.9081129431724548
389,140000,-30.8932,0.7481555938720703,0.9081129431724548
395,142000,-35.9715,0.3307597041130066,0.9081129431724548
401,144000,-39.8228,0.6621021032333374,0.9081129431724548
406,146000,-34.6931,0.4649795889854431,0.9081129431724548
412,148000,-37.5398,0.9471073150634766,0.9081129431724548
417,150000,-33.7067,0.37127038836479187,0.9081129431724548
423,152000,-37.4471,0.4161428213119507,0.9081129431724548
428,154000,-34.9596,0.7819958329200745,0.9081129431724548
434,156000,-41.0223,0.1476348340511322,0.9081129431724548
440,158000,-37.5151,0.15318931639194489,0.9081129431724548
445,160000,-37.6452,0.6187835335731506,0.9081129431724548
451,162000,-35.2236,0.23515428602695465,0.9081129431724548
456,164000,-33.4285,0.5955069661140442,0.9081129431724548
462,166000,-36.2836,0.5777202844619751,0.9081129431724548
467,168000,-33.1345,0.31108465790748596,0.9081129431724548
473,170000,-40.4342,0.27671730518341064,0.9081129431724548
479,172000,-36.7924,0.552992045879364,0.9081129431724548
484,174000,-37.6807,0.6712955236434937,0.9081129431724548
490,176000,-36.0149,0.39117032289505005,0.9081129431724548
495,178000,-38.2459,0.18112218379974365,0.9081129431724548
501,180000,-34.5459,0.5871756076812744,0.9081129431724548
506,182000,-37.0754,0.4421464204788208,0.9081129431724548
512,184000,-34.5329,0.383312463760376,0.9081129431724548
518,186000,-36.1343,0.4849017858505249,0.9081129431724548
523,188000,-33.8895,0.35067516565322876,0.9081129431724548
529,190000,-40.6039,0.18281376361846924,0.9081129431724548
534,192000,-34.9709,0.36634761095046997,0.9081129431724548
540,194000,-37.116,0.26666590571403503,0.9081129431724548
545,196000,-35.7988,0.220407173037529,0.9081129431724548
551,198000,-36.1449,0.1387956142425537,0.9081129431724548
557,200000,-34.6654,0.7330033779144287,0.9081129431724548
562,202000,-42.319,-0.11062110960483551,0.9081129431724548
568,204000,-33.5603,0.25245988368988037,0.9081129431724548
573,206000,-33.2417,0.3823632001876831,0.9081129431724548
579,208000,-39.0998,0.5186134576797485,0.9081129431724548
584,210000,-38.0632,0.8937252759933472,0.9081129431724548
590,212000,-31.7681,-0.03766321390867233,0.9081129431724548
596,214000,-33.4152,0.37111085653305054,0.9081129431724548
601,216000,-37.8527,0.41923779249191284,0.9081129431724548
607,218000,-37.413,-0.04842225834727287,0.9081129431724548
612,220000,-36.7413,0.674167275428772,0.9081129431724548
618,222000,-34.4057,0.4062967300415039,0.9081129431724548
623,224000,-37.4302,0.5146899223327637,0.9081129431724548
629,226000,-34.2607,0.37227606773376465,0.9081129431724548
635,228000,-37.0499,0.37871551513671875,0.9081129431724548
640,230000,-37.348,0.07082326710224152,0.9081129431724548
646,232000,-35.8066,0.6816717386245728,0.9081129431724548
651,234000,-41.5419,0.48375821113586426,0.9081129431724548
657,236000,-34.0412,0.5321647524833679,0.9081129431724548
662,238000,-38.9079,-0.03722779452800751,0.9081129431724548
668,240000,-35.2504,0.37687933444976807,0.9081129431724548
674,242000,-34.8077,1.1129422187805176,0.9081129431724548
679,244000,-36.1657,0.4281928837299347,0.9081129431724548
685,246000,-36.245,0.34927260875701904,0.9081129431724548
690,248000,-34.3099,0.812775731086731,0.9081129431724548
696,250000,-37.2494,0.23394522070884705,0.9081129431724548
701,252000,-29.4253,0.5185295343399048,0.9081129431724548
707,254000,-35.3079,0.5094767212867737,0.9081129431724548
713,256000,-33.1648,0.41893643140792847,0.9081129431724548
718,258000,-31.1889,0.2245447039604187,0.9081129431724548
724,260000,-31.7862,0.6185857653617859,0.9081129431724548
729,262000,-34.824,0.6422467231750488,0.9081129431724548
735,264000,-33.9287,0.2327023595571518,0.9081129431724548
740,266000,-35.5487,0.3662652373313904,0.9081129431724548
746,268000,-35.8846,0.1194954365491867,0.9081129431724548
752,270000,-34.0214,0.04891752451658249,0.9081129431724548
757,272000,-38.3781,0.12747666239738464,0.9081129431724548
763,274000,-36.4231,0.3014114499092102,0.9081129431724548
768,276000,-39.2391,0.8084156513214111,0.9081129431724548
774,278000,-39.3123,0.35240650177001953,0.9081129431724548
779,280000,-33.8226,0.4927177429199219,0.9081129431724548
785,282000,-36.0375,0.5467256307601929,0.9081129431724548
791,284000,-36.1991,0.5367566347122192,0.9081129431724548
796,286000,-38.0903,0.9175459146499634,0.9081129431724548
802,288000,-36.0524,0.4377005100250244,0.9081129431724548
807,290000,-38.3595,0.4343399405479431,0.9081129431724548
813,292000,-31.541,0.8947393894195557,0.9081129431724548
818,294000,-38.4908,0.2000415176153183,0.9081129431724548
824,296000,-36.8879,0.13455700874328613,0.9081129431724548
830,298000,-35.1959,0.061671435832977295,0.9081129431724548
835,300000,-33.7312,0.11073781549930573,0.9081129431724548
841,302000,-35.9671,0.14799460768699646,0.9081129431724548
846,304000,-34.8249,0.5161951780319214,0.9081129431724548
852,306000,-69.4316,0.5745092034339905,0.9081129431724548
857,308000,-41.1323,-0.10190075635910034,0.9081129431724548
863,310000,-34.3723,-0.05630825459957123,0.9081129431724548
869,312000,-35.1788,0.4118555784225464,0.9081129431724548
874,314000,-37.3483,0.3900701403617859,0.9081129431724548
880,316000,-36.568,0.20035958290100098,0.9081129431724548
885,318000,-37.2853,0.12153872847557068,0.9081129431724548
891,320000,-36.9793,0.41981497406959534,0.9081129431724548
896,322000,-38.4876,0.3495359718799591,0.9081129431724548
902,324000,-38.854,0.6861069798469543,0.9081129431724548
908,326000,-37.8329,0.4513147473335266,0.9081129431724548
913,328000,-36.0866,0.8448010087013245,0.9081129431724548
919,330000,-38.842,0.3769838511943817,0.9081129431724548
924,332000,-35.05,0.1363866627216339,0.9081129431724548
930,334000,-36.0252,-0.006786525249481201,0.9081129431724548
935,336000,-35.8974,-0.14828263223171234,0.9081129431724548
941,338000,-40.6495,0.37755969166755676,0.9081129431724548
947,340000,-36.9194,0.7056275606155396,0.9081129431724548
952,342000,-35.694,0.17138463258743286,0.9081129431724548
958,344000,-36.386,0.7719507217407227,0.9081129431724548
963,346000,-42.3454,-0.07337424159049988,0.9081129431724548
969,348000,-36.8885,0.6879982352256775,0.9081129431724548
974,350000,-35.3408,0.7121766805648804,0.9081129431724548
980,352000,-34.0522,0.35077014565467834,0.9081129431724548
986,354000,-34.5237,0.05566190183162689,0.9081129431724548
991,356000,-36.8013,0.1459631323814392,0.9081129431724548
997,358000,-33.529,0.19937652349472046,0.9081129431724548
1002,360000,-35.1266,0.5370436906814575,0.9081129431724548
1008,362000,-32.0984,0.5148254036903381,0.9081129431724548
1013,364000,-37.6491,0.38078877329826355,0.9081129431724548
1019,366000,-32.1017,0.961464524269104,0.9081129431724548
1025,368000,-35.1856,0.017157480120658875,0.9081129431724548
