,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower,bstp_nmix_prpr,bstp_nmix_hgpr,bstp_nmix_lwpr,bstp_nmix_prdy_ctrt,acml_vol.1,acml_tr_pbmn,bstp_nmix_prpr.1,bstp_nmix_hgpr.1,bstp_nmix_lwpr.1,bstp_nmix_prdy_ctrt.1,acml_vol.2,acml_tr_pbmn.1,ovrs_nmix_prpr,ovrs_nmix_hgpr,ovrs_nmix_lwpr,ovrs_nmix_prpr.1,ovrs_nmix_hgpr.1,ovrs_nmix_lwpr.1
0,4305,4670,4230,1283901,-170,4106.0,4025.75,3999.3333333333335,60.4895104895105,4405.898326314874,4025.75,3645.601673685126,2148.8,2153.9,2143.63,0.18,301254,4248900,736.81,737.5,729.22,1.32,656385,3912306,7637.54,7662.38,7579.29,2798.36,2809.79,2785.02
1,4230,4530,4200,1319918,-75,4192.0,4023.0,4012.8333333333335,59.24657534246575,4396.341666573663,4023.0,3649.658333426337,2145.62,2152.91,2132.42,-0.15,363169,4490155,728.45,739.22,728.43,-1.13,748819,4137567,7691.52,7738.17,7649.21,2818.46,2829.87,2803.99
2,4220,4440,4190,733379,-10,4275.0,4018.5,4028.1666666666665,64.31226765799258,4379.873767725329,4018.5,3657.126232274671,2128.1,2136.4,2120.93,-0.82,288036,4403905,719.72,728.56,719.72,-1.2,695541,3893134,7643.38,7712.84,7582.09,2805.37,2825.56,2787.72
3,4110,4285,4005,416576,-110,4268.0,4019.25,4040.5,58.88501742160278,4381.317327993012,4019.25,3657.182672006987,2140.67,2143.3,2124.07,0.59,364619,5248941,729.31,729.31,714.53,1.33,779262,4081059,7669.17,7689.16,7619.82,2815.44,2819.71,2798.77
4,4210,4285,4085,528239,100,4215.0,4022.25,4052.0833333333335,59.45017182130583,4389.557432541189,4022.25,3654.942567458811,2168.28,2171.49,2153.31,1.29,263313,4365111,736.81,737.69,729.74,1.03,704757,3592042,7729.32,7733.63,7688.51,2834.4,2836.03,2819.23
5,4295,4400,4160,896483,85,4213.0,4034.25,4063.8333333333335,64.40677966101696,4420.2587434242905,4034.25,3648.241256575709,2177.18,2181.37,2171.84,0.41,257453,4247457,739.57,740.94,737.18,0.37,955940,4106382,7828.91,7831.45,7777.1,2867.19,2869.4,2848.63
6,4325,4335,4200,461074,30,4232.0,4050.25,4073.5,63.79310344827586,4456.100649870122,4050.25,3644.3993501298783,2203.27,2203.29,2172.83,1.2,358645,5466968,749.3,749.3,740.73,1.32,807521,4220278,7848.69,7854.92,7811.28,2867.24,2872.9,2858.75
7,4250,4435,4250,711769,-75,4238.0,4064.75,4083.1666666666665,62.28956228956229,4477.333021948311,4064.75,3652.1669780516895,2206.53,2216.15,2198.66,0.15,431013,4857554,751.58,753.39,746.29,0.3,879690,4359673,7895.55,7938.26,7870.9,2873.4,2885.25,2865.17
8,4235,4350,4185,214936,-15,4263.0,4084.75,4090.75,60.75085324232082,4489.55211214864,4084.75,3679.94788785136,2209.61,2214.82,2205.26,0.14,517153,4215786,751.71,753.97,748.79,0.02,788494,4273410,7891.78,7917.65,7844.96,2879.39,2881.28,2867.14
9,4220,4345,4210,177499,-15,4265.0,4103.0,4099.083333333333,60.95890410958904,4497.504752823081,4103.0,3708.4952471769193,2210.6,2217.87,2202.49,0.04,347910,4660047,751.92,756.16,750.02,0.03,762374,4321666,7938.69,7940.45,7909.14,2892.74,2893.24,2882.99
